domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,RandomForest,RF,symmetric,0.0,0.0,278884.0,0.0,0.9083046776663044,0.9428300966696308,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.0,1.0,278885.0,0.0,0.9087498126469188,0.9447081940878644,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.0,2.0,278885.0,0.0,0.913653228551925,0.942685847879405,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.0,3.0,278885.0,0.0,0.9136835119001409,0.9423846473802728,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.0,4.0,278885.0,0.0,0.9092212331804904,0.9419830467147632,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.1,0.0,278884.0,10.010255159851408,0.8948294346785062,0.9337798686210952,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.1,1.0,278885.0,10.013804973376123,0.8969875383395343,0.9362315514694282,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.1,2.0,278885.0,10.05181347150259,0.8995597440007768,0.9336785186672596,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.1,3.0,278885.0,10.024562095487386,0.9051945170536604,0.9356865219948078,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.1,4.0,278885.0,9.96503935313839,0.8972549025265588,0.9333486324063052,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.2,0.0,278884.0,20.01082887508785,0.8574570910490632,0.9220332176357534,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.2,1.0,278885.0,20.00501999031859,0.8616198003312858,0.9255461051906886,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.2,2.0,278885.0,19.98601574125536,0.8628037413577466,0.921558784297414,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.2,3.0,278885.0,19.96199150187353,0.8627243170556868,0.922505414437544,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.2,4.0,278885.0,20.058805600874912,0.8554058707947315,0.9209133546564164,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.3,0.0,278884.0,30.056224093171352,0.79091746302546,0.9007630303204154,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.3,1.0,278885.0,30.04105634939133,0.7926227111009109,0.9027696103039256,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.3,2.0,278885.0,29.96503935313839,0.7978137942323114,0.9021672093056612,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.3,3.0,278885.0,30.011294978216828,0.7971137277102452,0.9024970955666156,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.3,4.0,278885.0,29.930257991645306,0.7913238656603484,0.9010771503564206,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.4,0.0,278884.0,40.13138078914531,0.7024045806975077,0.859527839132555,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.4,1.0,278885.0,39.942628682073256,0.7084472676865499,0.8633123449176001,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.4,2.0,278885.0,40.06776986930097,0.71030133495439,0.8633984022030665,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,symmetric,0.4,3.0,278885.0,40.01111569284831,0.7082744145003644,0.8627673154429799,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
