check,expected,found,source,status
T2 tab RF clean,0.911,0.9107,master_all_results.csv,PASS
T2 tab XGB clean,0.936,0.9362,master_all_results.csv,PASS
T2 tab Voting clean,0.933,0.933,master_all_results.csv,PASS
T2 tab Stack clean,0.889,0.8895,master_all_results.csv,PASS
T2 img RF clean,0.902,0.9024,master_all_results.csv,PASS
T2 img RF clean,0.902,0.9024,rf_image_results_full.csv,PASS
T2 img RF clean,0.902,0.9024,rf_image_results_intermediate.csv,PASS
T2 img XGB clean,0.935,0.9349,master_all_results.csv,PASS
T2 img XGB clean,0.935,0.9349,xgb_image_results_full.csv,PASS
T2 img XGB clean,0.935,0.9349,xgb_image_results_intermediate.csv,PASS
T2 img Voting clean,0.933,0.9334,master_all_results.csv,PASS
T2 img Voting clean,0.933,0.9334,voting_image_results_full.csv,PASS
T2 img Voting clean,0.933,0.9334,voting_image_results_intermediate.csv,PASS
T2 img Stack clean,0.935,0.9352,master_all_results.csv,PASS
5.2 tab XGB sym40,0.807,0.8071,master_all_results.csv,PASS
5.2 tab Voting sym40,0.761,0.761,master_all_results.csv,PASS
5.2 tab RF sym40,0.707,0.7068,master_all_results.csv,PASS
5.2 tab Stack sym40,0.678,0.6776,master_all_results.csv,PASS
5.2 img RF sym40,0.895,0.8954,master_all_results.csv,PASS
5.2 img RF sym40,0.895,0.8954,rf_image_results_full.csv,PASS
5.2 img RF sym40,0.895,0.8954,rf_image_results_intermediate.csv,PASS
5.2 img XGB sym40,0.909,0.9094,master_all_results.csv,PASS
5.2 img XGB sym40,0.909,0.9094,xgb_image_results_full.csv,PASS
5.2 img XGB sym40,0.909,0.9094,xgb_image_results_intermediate.csv,PASS
5.2 img Voting sym40,0.919,0.9192,master_all_results.csv,PASS
5.2 img Voting sym40,0.919,0.9192,voting_image_results_full.csv,PASS
5.2 img Voting sym40,0.919,0.9192,voting_image_results_intermediate.csv,PASS
5.2 img Stack sym40,0.914,0.9141,master_all_results.csv,PASS
5.3 tab XGB asym40,0.608,0.6077,master_all_results.csv,PASS
5.3 tab Voting asym40,0.604,0.6044,master_all_results.csv,PASS
5.3 tab RF asym40,0.588,0.5881,master_all_results.csv,PASS
5.3 tab Stack asym40,0.683,0.6831,master_all_results.csv,PASS
5.3 img RF asym40,0.804,0.8035,master_all_results.csv,PASS
5.3 img RF asym40,0.804,0.8035,rf_image_results_full.csv,PASS
5.3 img RF asym40,0.804,0.8035,rf_image_results_intermediate.csv,PASS
5.3 img Stack asym40,0.777,0.7766,master_all_results.csv,PASS
5.3 img Voting asym40,0.769,0.769,master_all_results.csv,PASS
5.3 img Voting asym40,0.769,0.769,voting_image_results_full.csv,PASS
5.3 img Voting asym40,0.769,0.769,voting_image_results_intermediate.csv,PASS
5.3 img XGB asym40,0.72,0.7205,master_all_results.csv,PASS
5.3 img XGB asym40,0.72,0.7205,xgb_image_results_full.csv,PASS
5.3 img XGB asym40,0.72,0.7205,xgb_image_results_intermediate.csv,PASS
T6 tab RF pf,0.733,0.7333,pairflip_intermediate.csv,PASS
T6 tab RF pf,0.733,0.8093,pairflip_intermediate.csv,FAIL
T6 tab RF pf,0.733,0.7508,pairflip_intermediate.csv,FAIL
T6 tab RF pf,0.733,0.7495,pairflip_intermediate.csv,FAIL
T6 tab RF pf,0.733,0.7333,pairflip_results_full.csv,PASS
T6 tab RF pf,0.733,0.8093,pairflip_results_full.csv,FAIL
T6 tab RF pf,0.733,0.7508,pairflip_results_full.csv,FAIL
T6 tab RF pf,0.733,0.7495,pairflip_results_full.csv,FAIL
T6 tab XGB pf,0.75,0.7495,pairflip_intermediate.csv,PASS
T6 tab XGB pf,0.75,0.7495,pairflip_results_full.csv,PASS
T6 tab Voting pf,0.751,0.7508,pairflip_intermediate.csv,PASS
T6 tab Voting pf,0.751,0.7508,pairflip_results_full.csv,PASS
T6 tab Stack pf,0.809,0.8093,pairflip_intermediate.csv,PASS
T6 tab Stack pf,0.809,0.8093,pairflip_results_full.csv,PASS
T6 img RF pf,0.849,0.8491,pairflip_intermediate.csv,PASS
T6 img RF pf,0.849,0.889,pairflip_intermediate.csv,FAIL
T6 img RF pf,0.849,0.8385,pairflip_intermediate.csv,FAIL
T6 img RF pf,0.849,0.8132,pairflip_intermediate.csv,FAIL
T6 img RF pf,0.849,0.8491,pairflip_results_full.csv,PASS
T6 img RF pf,0.849,0.889,pairflip_results_full.csv,FAIL
T6 img RF pf,0.849,0.8385,pairflip_results_full.csv,FAIL
T6 img RF pf,0.849,0.8132,pairflip_results_full.csv,FAIL
T6 img XGB pf,0.813,0.8132,pairflip_intermediate.csv,PASS
T6 img XGB pf,0.813,0.8132,pairflip_results_full.csv,PASS
T6 img Voting pf,0.838,0.8385,pairflip_intermediate.csv,PASS
T6 img Voting pf,0.838,0.8385,pairflip_results_full.csv,PASS
T6 img Stack pf,0.889,0.889,pairflip_intermediate.csv,PASS
T6 img Stack pf,0.889,0.889,pairflip_results_full.csv,PASS
