file,rows,cols,columns
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results/friedman_tests.csv,20,6,domain|noise_type|noise_level|friedman_statistic|p_value|significant_at_0.05
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results/master_all_results.csv,400,54,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results/master_nsi_table.csv,16,8,ensemble|domain|noise_type|f1_clean|f1_at_40_noise|absolute_drop|relative_drop_pct|nsi_slope
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results/master_summary.csv,80,9,ensemble|domain|noise_type|noise_level|f1_macro_mean|f1_macro_std|accuracy_mean|accuracy_std|n_folds
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results/paper_ready_table.csv,8,10,Domain|Ensemble|SYM0|SYM20|SYM40|ASY0|ASY20|ASY40|NSI_sym|NSI_asy
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results/wilcoxon_pairwise_tests.csv,24,9,domain|noise_type|ensemble_1|ensemble_2|mean_diff|wilcoxon_statistic|p_value|better|significant_at_0.05
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/robustness_analysis/cross_domain_ratios.csv,8,5,ensemble|noise_type|tab_rel_drop|img_rel_drop|ratio
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/robustness_analysis/nsi_with_bootstrap_ci.csv,16,11,ensemble|domain|noise_type|nsi_slope|nsi_ci_low|nsi_ci_high|rel_drop_pct|rel_drop_ci_low|rel_drop_ci_high|f1_clean|f1_at_40
/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/robustness_analysis/wilcoxon_with_effect_sizes.csv,24,10,domain|noise_type|ensemble_1|ensemble_2|mean_diff|wilcoxon_p|rank_biserial_r|cliffs_delta|effect_magnitude|better
/kaggle/input/datasets/rabianaz22/05-output-3rd-paper/pairflip_results/checkpoints/pairflip_intermediate.csv,40,53,model|noise_type|noise_level|fold|domain|ensemble|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2
