condition,method,f1,rel_drop_vs_clean_pct
c10n_aggre_0,RF,0.8241,0.19
c10n_aggre_0,XGB,0.8671,1.08
c10n_aggre_0,ET,0.8296,0.17
c10n_aggre_0,Voting,0.8675,0.72
c10n_aggre_0,PlainStack,0.8665,0.97
c10n_aggre_0,DAS,0.8682,0.81
c10n_aggre_0,CL_XGB,0.864,0.36
c10n_aggre_0,GCE_XGB,0.8663,1.13
c10n_random1_0,RF,0.8207,0.61
c10n_random1_0,XGB,0.8602,1.87
c10n_random1_0,ET,0.8259,0.61
c10n_random1_0,Voting,0.8614,1.42
c10n_random1_0,PlainStack,0.8614,1.55
c10n_random1_0,DAS,0.8626,1.45
c10n_random1_0,CL_XGB,0.8587,0.97
c10n_random1_0,GCE_XGB,0.8544,2.49
c10n_worse_0,RF,0.7857,4.84
c10n_worse_0,XGB,0.7993,8.82
c10n_worse_0,ET,0.7897,4.97
c10n_worse_0,Voting,0.8128,6.98
c10n_worse_0,PlainStack,0.812,7.2
c10n_worse_0,DAS,0.8167,6.69
c10n_worse_0,CL_XGB,0.8289,4.41
c10n_worse_0,GCE_XGB,0.7913,9.69
