dataset,condition,fold,actual_noise_pct,n_train,n_flagged,flag_rate_pct,flag_precision,flag_recall,f1_CL_XGB,acc_CL_XGB,seconds
drybean,asymmetric_10,0,10.257195345988976,6532,810,12.4,0.7864,0.9507,0.9410791999782568,0.9290085679314566,3.3
drybean,asymmetric_10,1,11.143425684983928,6533,864,13.23,0.7847,0.9313,0.9355858930058772,0.9265156154317208,3.4
drybean,asymmetric_10,2,9.918873411908772,6533,774,11.85,0.7881,0.9414,0.9331333414553804,0.9185548071034904,3.2
drybean,asymmetric_10,3,9.90356650849533,6533,725,11.1,0.7972,0.8934,0.9324042631977452,0.917330067360686,3.5
drybean,asymmetric_10,4,10.117863156283484,6533,802,12.28,0.7668,0.9304,0.9420124860632634,0.9301898346601348,3.3
drybean,asymmetric_20,0,20.9736680955297,6532,1501,22.98,0.8448,0.9255,0.936522978801368,0.9241126070991432,3.3
drybean,asymmetric_20,1,19.54691565896219,6533,1393,21.32,0.8464,0.9233,0.9351619360817116,0.9259032455603184,3.4
drybean,asymmetric_20,2,19.684677789683143,6533,1453,22.24,0.8334,0.9417,0.933450338332214,0.9185548071034904,3.2
drybean,asymmetric_20,3,20.02142966477881,6533,1411,21.6,0.8505,0.9174,0.9271614912852152,0.9142682180036742,3.3
drybean,asymmetric_20,4,19.11832236338589,6533,1386,21.22,0.8261,0.9167,0.9326880980708302,0.9203919167176976,3.3
drybean,asymmetric_30,0,29.562155541947337,6532,2225,34.06,0.7501,0.8643,0.9160916531552932,0.905140758873929,3.8
drybean,asymmetric_30,1,29.54232358793816,6533,2143,32.8,0.7639,0.8482,0.9192024951893272,0.9093692590324556,3.7
drybean,asymmetric_30,2,29.710699525486,6533,2143,32.8,0.7881,0.8702,0.922430211843243,0.9093692590324556,3.7
drybean,asymmetric_30,3,29.32802694015001,6533,2097,32.1,0.7797,0.8533,0.9048208574342824,0.8928352725045928,3.8
drybean,asymmetric_30,4,30.506658502984845,6533,2191,33.54,0.7741,0.851,0.913077718906408,0.898958971218616,3.8
drybean,asymmetric_40,0,39.57440293937538,6532,2910,44.55,0.6557,0.7381,0.8034935423737487,0.8102815177478581,4.4
drybean,asymmetric_40,1,40.28776978417266,6533,2909,44.53,0.6342,0.701,0.7774743934306553,0.7936313533374157,4.4
drybean,asymmetric_40,2,39.55303842032757,6533,2843,43.52,0.6405,0.7047,0.8094593125078647,0.8132271892222903,4.4
drybean,asymmetric_40,3,40.31838359099954,6533,2927,44.8,0.645,0.7168,0.7938473798310614,0.7973055725658298,4.4
drybean,asymmetric_40,4,40.303076687586106,6533,2930,44.85,0.6365,0.7083,0.8048654987391838,0.8034292712798531,4.5
drybean,clean_0,0,0.0,6532,116,1.78,0.0,,0.9423064100882926,0.930844553243574,3.3
drybean,clean_0,1,0.0,6533,117,1.79,0.0,,0.9388429102503582,0.92896509491733,3.3
drybean,clean_0,2,0.0,6533,112,1.71,0.0,,0.9348590265473036,0.9191671769748928,3.3
drybean,clean_0,3,0.0,6533,103,1.58,0.0,,0.929899224522404,0.9148805878750764,3.3
drybean,clean_0,4,0.0,6533,118,1.81,0.0,,0.9406359440850628,0.92896509491733,3.2
drybean,pairflip_40,0,26.454378444580527,6532,2022,30.96,0.6192,0.7245,0.8786667722851182,0.8647490820073439,3.3
drybean,pairflip_40,1,27.031991428134088,6533,2059,31.52,0.5993,0.6988,0.8744713755324371,0.8524188609920392,3.2
drybean,pairflip_40,2,26.251339354048675,6533,1968,30.12,0.6128,0.7032,0.8746615139974091,0.8542559706062461,3.2
drybean,pairflip_40,3,27.093219041787847,6533,2058,31.5,0.6103,0.7096,0.8709935385579207,0.8524188609920392,3.4
drybean,pairflip_40,4,26.618705035971225,6533,2066,31.62,0.5905,0.7016,0.856571849064987,0.842620943049602,3.2
drybean,symmetric_10,0,10.257195345988976,6532,827,12.66,0.7557,0.9328,0.938373396725882,0.9253365973072216,3.2
drybean,symmetric_10,1,11.143425684983928,6533,863,13.21,0.7787,0.9231,0.9338847743774344,0.9246785058175138,3.5
drybean,symmetric_10,2,9.918873411908772,6533,762,11.66,0.7703,0.9059,0.9340723801867912,0.9216166564605022,3.3
drybean,symmetric_10,3,9.90356650849533,6533,714,10.93,0.7815,0.8624,0.9351368549408816,0.9216166564605022,3.7
drybean,symmetric_10,4,10.117863156283484,6533,797,12.2,0.7641,0.9213,0.9355984736265396,0.9246785058175138,3.4
drybean,symmetric_20,0,20.9736680955297,6532,1476,22.6,0.8577,0.9241,0.9386215778080922,0.927172582619339,3.2
drybean,symmetric_20,1,19.54691565896219,6533,1379,21.11,0.8492,0.917,0.9358553286574012,0.9265156154317208,3.4
drybean,symmetric_20,2,19.684677789683143,6533,1438,22.01,0.8387,0.9378,0.9301103942581715,0.917942437232088,3.1
drybean,symmetric_20,3,20.02142966477881,6533,1404,21.49,0.8561,0.919,0.9252736699815256,0.913655848132272,3.3
drybean,symmetric_20,4,19.11832236338589,6533,1396,21.37,0.8281,0.9255,0.9363603280013802,0.9234537660747092,3.4
drybean,symmetric_30,0,29.562155541947337,6532,2047,31.34,0.8818,0.9347,0.9301201832088491,0.91921664626683,3.3
drybean,symmetric_30,1,29.54232358793816,6533,2022,30.95,0.8892,0.9316,0.9320855905332478,0.9234537660747092,3.3
drybean,symmetric_30,2,29.710699525486,6533,2000,30.61,0.8995,0.9268,0.9299882084314216,0.9154929577464788,3.5
drybean,symmetric_30,3,29.32802694015001,6533,1967,30.11,0.8978,0.9217,0.9230555841221884,0.9069197795468464,3.5
