dataset,condition,f1_CL_XGB,flag_rate_pct,flag_precision,flag_recall
cifar10,asymmetric_10,0.8646,14.252,0.6602,0.9331
cifar10,asymmetric_20,0.8569,23.912,0.7745,0.9296
cifar10,asymmetric_30,0.8515,33.354,0.8058,0.8999
cifar10,asymmetric_40,0.8074,43.106,0.7178,0.7749
cifar10,c10n_aggre_0,0.864,9.124,0.6028,0.6161
cifar10,c10n_random1_0,0.8587,17.302,0.7471,0.7516
cifar10,c10n_worse_0,0.8289,35.906,0.8793,0.7855
cifar10,clean_0,0.8671,3.982,0.0,
cifar10,pairflip_40,0.828,28.66,0.6118,0.7295
cifar10,symmetric_10,0.8645,14.212,0.6413,0.9038
cifar10,symmetric_20,0.8604,23.712,0.77,0.9166
cifar10,symmetric_30,0.8552,32.564,0.84,0.9157
cifar10,symmetric_40,0.851,41.172,0.8828,0.9102
drybean,asymmetric_10,0.9368,12.172,0.7846,0.9294
drybean,asymmetric_20,0.933,21.872,0.8402,0.9249
drybean,asymmetric_30,0.9151,33.06,0.7712,0.8574
drybean,asymmetric_40,0.7978,44.45,0.6424,0.7138
drybean,clean_0,0.9373,1.734,0.0,
drybean,pairflip_40,0.8711,31.144,0.6064,0.7075
drybean,symmetric_10,0.9354,12.132,0.7701,0.9091
drybean,symmetric_20,0.9332,21.716,0.846,0.9247
drybean,symmetric_30,0.9295,30.96,0.8916,0.9284
drybean,symmetric_40,0.9264,40.006,0.9233,0.9231
fmnist,asymmetric_10,0.8845,14.57,0.6589,0.9495
fmnist,asymmetric_20,0.8807,24.098,0.7871,0.9533
fmnist,asymmetric_30,0.8763,33.002,0.842,0.9308
fmnist,asymmetric_40,0.8553,42.318,0.768,0.8145
fmnist,clean_0,0.8879,4.342,0.0,
fmnist,pairflip_40,0.8553,27.768,0.6541,0.7606
fmnist,symmetric_10,0.8837,14.492,0.6435,0.9221
fmnist,symmetric_20,0.8789,23.906,0.78,0.9371
fmnist,symmetric_30,0.8755,33.178,0.8471,0.9412
fmnist,symmetric_40,0.871,42.188,0.8881,0.9388
har,asymmetric_10,0.9816,10.528,0.9279,0.9443
har,asymmetric_20,0.9751,19.962,0.9429,0.9441
har,asymmetric_30,0.9534,30.686,0.8736,0.8994
har,asymmetric_40,0.8788,42.038,0.705,0.7435
har,clean_0,0.9883,0.004,0.0,
har,pairflip_40,0.8973,28.384,0.6495,0.714
har,symmetric_10,0.9806,10.192,0.9643,0.9502
har,symmetric_20,0.9808,19.9,0.9647,0.9629
har,symmetric_30,0.9689,30.094,0.9609,0.9708
har,symmetric_40,0.9657,39.578,0.9658,0.9592
isolet,asymmetric_10,0.9386,11.272,0.8486,0.9262
isolet,asymmetric_20,0.9354,21.236,0.8756,0.9328
isolet,asymmetric_30,0.914,31.306,0.8306,0.8748
isolet,asymmetric_40,0.7936,42.822,0.667,0.7168
isolet,clean_0,0.9448,0.614,0.0,
isolet,pairflip_40,0.8872,10.888,0.5387,0.6403
isolet,symmetric_10,0.9401,10.028,0.8659,0.8405
isolet,symmetric_20,0.9342,19.334,0.9036,0.8768
isolet,symmetric_30,0.9299,28.352,0.9315,0.8882
isolet,symmetric_40,0.9236,38.442,0.9452,0.9118
pendigits,asymmetric_10,0.9868,10.314,0.9611,0.955
pendigits,asymmetric_20,0.9822,19.92,0.9468,0.9443
pendigits,asymmetric_30,0.9561,32.324,0.7928,0.8574
pendigits,asymmetric_40,0.8251,44.724,0.6291,0.7036
pendigits,clean_0,0.9898,0.016,0.0,
pendigits,pairflip_40,0.8894,27.298,0.6193,0.7087
pendigits,symmetric_10,0.9866,9.984,0.972,0.9355
pendigits,symmetric_20,0.9835,19.354,0.9828,0.9524
pendigits,symmetric_30,0.9846,29.216,0.9806,0.9592
pendigits,symmetric_40,0.9812,38.842,0.979,0.951
satimage,asymmetric_10,0.8832,14.058,0.657,0.8958
satimage,asymmetric_20,0.8766,23.94,0.764,0.9097
satimage,asymmetric_30,0.8512,33.86,0.7403,0.844
satimage,asymmetric_40,0.757,44.27,0.6326,0.7079
satimage,clean_0,0.8902,3.532,0.0,
satimage,pairflip_40,0.7905,25.326,0.568,0.6949
satimage,symmetric_10,0.8815,13.888,0.673,0.9064
satimage,symmetric_20,0.8755,23.466,0.7989,0.9323
satimage,symmetric_30,0.8724,32.076,0.8645,0.9341
satimage,symmetric_40,0.8679,40.27,0.8896,0.9048
shuttle,asymmetric_10,0.904,8.87,0.7855,0.6903
shuttle,asymmetric_20,0.8055,18.874,0.6823,0.6465
shuttle,asymmetric_30,0.7448,30.222,0.5878,0.5947
shuttle,asymmetric_40,0.644,41.282,0.5339,0.5519
shuttle,clean_0,0.9436,0.098,0.0,
shuttle,pairflip_40,0.6414,40.588,0.532,0.5406
shuttle,symmetric_10,0.9187,10.126,0.8516,0.8549
shuttle,symmetric_20,0.8857,19.796,0.8332,0.828
shuttle,symmetric_30,0.8737,29.42,0.8034,0.7912
shuttle,symmetric_40,0.8025,39.762,0.7648,0.7614
