noise_type,noise_level,delta_AllFour_mean,delta_AllFour_std,delta_Confidence_mean,delta_Confidence_std,delta_Disagreement_mean,delta_Disagreement_std
asymmetric,0.0,0.001,0.0033,0.0011,0.0032,-0.0007,0.0025
asymmetric,0.1,0.0006,0.0048,0.0025,0.0033,0.0001,0.0031
asymmetric,0.2,0.0031,0.0038,0.0046,0.0051,0.0,0.0029
asymmetric,0.3,0.0033,0.0042,-0.0002,0.0046,0.0022,0.0062
asymmetric,0.4,0.004,0.0044,-0.0001,0.005,-0.0009,0.0026
pairflip,0.4,0.006,0.0018,0.0053,0.0035,0.0029,0.0012
symmetric,0.0,0.0013,0.0035,0.0011,0.0032,-0.0007,0.0025
symmetric,0.1,-0.0026,0.001,-0.0023,0.0016,-0.0017,0.0011
symmetric,0.2,-0.0018,0.0024,-0.0009,0.0017,0.0011,0.0027
symmetric,0.3,-0.0035,0.0018,-0.0038,0.0024,-0.001,0.0008
symmetric,0.4,0.0254,0.0134,0.0268,0.012,0.0161,0.0088
