domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,PlainStack,symmetric,0.0,0,0.0,196.72276091575623,0.8898172224019693,0.92495
Tabular,AllFour,symmetric,0.0,0,0.0,196.72286915779114,0.8883423380250026,0.92505
Tabular,Confidence,symmetric,0.0,0,0.0,196.7229642868042,0.8893129355027879,0.9252
Tabular,Disagreement,symmetric,0.0,0,0.0,196.72305703163147,0.8862733694444543,0.9244
Tabular,PlainStack,symmetric,0.0,1,0.0,194.39915466308594,0.8824047016245359,0.9281
Tabular,AllFour,symmetric,0.0,1,0.0,194.399263381958,0.8876349461285092,0.9291
Tabular,Confidence,symmetric,0.0,1,0.0,194.3993649482727,0.886507799015306,0.9289
Tabular,Disagreement,symmetric,0.0,1,0.0,194.3994653224945,0.8855436499729369,0.9283
Tabular,PlainStack,symmetric,0.0,2,0.0,193.83090496063232,0.8825993231930359,0.9265
Tabular,AllFour,symmetric,0.0,2,0.0,193.8310534954071,0.8838866531312204,0.92705
Tabular,Confidence,symmetric,0.0,2,0.0,193.83119082450867,0.8831892768895571,0.92685
Tabular,Disagreement,symmetric,0.0,2,0.0,193.83129501342773,0.8815639166046209,0.92575
Tabular,PlainStack,symmetric,0.0,3,0.0,191.56703877449036,0.8906004723667712,0.9269
Tabular,AllFour,symmetric,0.0,3,0.0,191.56714606285095,0.8947153741878998,0.9281
Tabular,Confidence,symmetric,0.0,3,0.0,191.56723403930664,0.8949154892177064,0.9284
Tabular,Disagreement,symmetric,0.0,3,0.0,191.56731867790222,0.8905777578381909,0.92715
Tabular,PlainStack,symmetric,0.0,4,0.0,191.58087825775146,0.901281964306798,0.9312
Tabular,AllFour,symmetric,0.0,4,0.0,191.58094239234924,0.8984147838726199,0.9308
Tabular,Confidence,symmetric,0.0,4,0.0,191.5809977054596,0.8981799545497834,0.931
Tabular,Disagreement,symmetric,0.0,4,0.0,191.58105206489563,0.8989953595649289,0.931
Tabular,PlainStack,symmetric,0.1,0,10.13875,229.74584650993347,0.8606493542841672,0.9101
Tabular,AllFour,symmetric,0.1,0,10.13875,229.74594926834106,0.8581789400818287,0.9099
Tabular,Confidence,symmetric,0.1,0,10.13875,229.7460424900055,0.8581267182621879,0.90985
Tabular,Disagreement,symmetric,0.1,0,10.13875,229.74614357948303,0.859366716762595,0.90985
Tabular,PlainStack,symmetric,0.1,1,9.936250000000001,234.2622673511505,0.8574567832106983,0.91495
Tabular,AllFour,symmetric,0.1,1,9.936250000000001,234.26239204406738,0.8533499605784017,0.9138
Tabular,Confidence,symmetric,0.1,1,9.936250000000001,234.26250433921814,0.8538770382159916,0.9139
Tabular,Disagreement,symmetric,0.1,1,9.936250000000001,234.26261472702026,0.8560677505556777,0.9147
Tabular,PlainStack,symmetric,0.1,2,10.19375,233.6278474330902,0.857123889062998,0.91025
Tabular,AllFour,symmetric,0.1,2,10.19375,233.6279399394989,0.8554555312443365,0.9106
Tabular,Confidence,symmetric,0.1,2,10.19375,233.6280279159546,0.8549250021823089,0.9105
Tabular,Disagreement,symmetric,0.1,2,10.19375,233.62811541557312,0.8543442350309883,0.9103
Tabular,PlainStack,symmetric,0.1,3,10.08375,229.0777473449707,0.859892479664465,0.9131
