domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,PlainStack,symmetric,0.0,0,0.0,173.85138058662415,0.8898172224019693,0.92495
Tabular,DAS,symmetric,0.0,0,0.0,173.85147643089294,0.8883423380250026,0.92505
Tabular,PlainStack,symmetric,0.0,1,0.0,177.32180452346802,0.8824047016245359,0.9281
Tabular,DAS,symmetric,0.0,1,0.0,177.32190537452698,0.8876349461285092,0.9291
Tabular,PlainStack,symmetric,0.0,2,0.0,174.99693036079407,0.8825993231930359,0.9265
Tabular,DAS,symmetric,0.0,2,0.0,174.99757599830627,0.8833197129548405,0.9267
Tabular,PlainStack,symmetric,0.0,3,0.0,176.31845211982727,0.8906004723667712,0.9269
Tabular,DAS,symmetric,0.0,3,0.0,176.31855416297913,0.894968965772754,0.92815
Tabular,PlainStack,symmetric,0.0,4,0.0,175.0558898448944,0.901281964306798,0.9312
Tabular,DAS,symmetric,0.0,4,0.0,175.05602073669434,0.8984147838726199,0.9308
Tabular,PlainStack,symmetric,0.1,0,10.13875,211.61349987983704,0.8606493542841672,0.9101
Tabular,DAS,symmetric,0.1,0,10.13875,211.61362218856812,0.8581789400818287,0.9099
Tabular,PlainStack,symmetric,0.1,1,9.936250000000001,217.51620864868164,0.8574567832106983,0.91495
Tabular,DAS,symmetric,0.1,1,9.936250000000001,217.51631116867065,0.8533499605784017,0.9138
Tabular,PlainStack,symmetric,0.1,2,10.19375,215.55698251724243,0.857123889062998,0.91025
Tabular,DAS,symmetric,0.1,2,10.19375,215.5600926876068,0.855473028696209,0.91065
Tabular,PlainStack,symmetric,0.1,3,10.08375,215.22093868255615,0.859892479664465,0.9131
Tabular,DAS,symmetric,0.1,3,10.08375,215.22103142738342,0.8580951796484924,0.91245
Tabular,PlainStack,symmetric,0.1,4,10.10875,210.39806056022644,0.8590908924919959,0.9137
Tabular,DAS,symmetric,0.1,4,10.10875,210.3981647491455,0.8559640742430601,0.91305
Tabular,PlainStack,symmetric,0.2,0,19.885,226.82829308509827,0.8244767618084531,0.89765
Tabular,DAS,symmetric,0.2,0,19.885,226.82838988304138,0.8199468433352394,0.8972
Tabular,PlainStack,symmetric,0.2,1,20.07125,227.5575180053711,0.8255969937800065,0.8987
Tabular,DAS,symmetric,0.2,1,20.07125,227.55760741233826,0.8269436433626248,0.89855
Tabular,PlainStack,symmetric,0.2,2,19.92625,227.04102492332458,0.8218467182787259,0.8983
Tabular,DAS,symmetric,0.2,2,19.92625,227.0411171913147,0.8205896240061347,0.89755
Tabular,PlainStack,symmetric,0.2,3,20.09,227.62496995925903,0.8278038616502326,0.898
Tabular,DAS,symmetric,0.2,3,20.09,227.6250720024109,0.8271075205366404,0.8977
Tabular,PlainStack,symmetric,0.2,4,20.01875,225.64560198783875,0.8281646303418115,0.89825
Tabular,DAS,symmetric,0.2,4,20.01875,225.64569330215454,0.8243983132286669,0.8973
Tabular,PlainStack,symmetric,0.3,0,29.898750000000003,235.2496693134308,0.7893786297213706,0.88095
Tabular,DAS,symmetric,0.3,0,29.898750000000003,235.24975872039795,0.7870364295089427,0.88125
Tabular,PlainStack,symmetric,0.3,1,30.056250000000002,235.91540813446045,0.7917278504865318,0.88405
Tabular,DAS,symmetric,0.3,1,30.056250000000002,235.91549944877625,0.7890984443856669,0.88495
Tabular,PlainStack,symmetric,0.3,2,30.03125,232.49945163726807,0.7912541726927685,0.88235
Tabular,DAS,symmetric,0.3,2,30.03125,232.4995436668396,0.7852406393571446,0.8806
Tabular,PlainStack,symmetric,0.3,3,29.983749999999997,237.48939609527588,0.7700538841657608,0.88075
Tabular,DAS,symmetric,0.3,3,29.983749999999997,237.48950099945068,0.7683453563629187,0.87945
Tabular,PlainStack,symmetric,0.3,4,30.051250000000003,232.53853344917297,0.7875577067863715,0.8812
Tabular,DAS,symmetric,0.3,4,30.051250000000003,232.5386245250702,0.783010617135439,0.8813
