domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Image,PlainStack,symmetric,0.0,0,0.0,245.44120025634766,0.9357208477001011,0.9382716049382716
Image,DAS,symmetric,0.0,0,0.0,245.44123196601868,0.9337529812526926,0.9364197530864198
Image,PlainStack,symmetric,0.0,1,0.0,245.37746691703796,0.9378264868669955,0.9404320987654321
Image,DAS,symmetric,0.0,1,0.0,245.37749576568604,0.9373329272346455,0.9398148148148148
Image,PlainStack,symmetric,0.0,2,0.0,247.04366278648376,0.9396772989546802,0.941358024691358
Image,DAS,symmetric,0.0,2,0.0,247.043692111969,0.9388229898201252,0.9404320987654321
Image,PlainStack,symmetric,0.0,3,0.0,245.01414489746094,0.9280865935181616,0.9314814814814815
Image,DAS,symmetric,0.0,3,0.0,245.01417088508606,0.9299919719874131,0.9333333333333333
Image,PlainStack,symmetric,0.0,4,0.0,245.56888389587402,0.9351302608118063,0.9373456790123457
Image,DAS,symmetric,0.0,4,0.0,245.56891298294067,0.9344436098917562,0.9367283950617284
Image,PlainStack,symmetric,0.2,0,20.66358024691358,341.34634351730347,0.930524561404624,0.9333333333333333
Image,DAS,symmetric,0.2,0,20.66358024691358,341.3463695049286,0.9260941898531566,0.9290123456790124
Image,PlainStack,symmetric,0.2,1,20.239197530864196,342.3583633899689,0.9324847025321198,0.9348765432098766
Image,DAS,symmetric,0.2,1,20.239197530864196,342.35838985443115,0.9326566457351191,0.9351851851851852
Image,PlainStack,symmetric,0.2,2,19.405864197530864,337.2856938838959,0.9364429326225988,0.9382716049382716
Image,DAS,symmetric,0.2,2,19.405864197530864,337.285719871521,0.936526618401588,0.9382716049382716
Image,PlainStack,symmetric,0.2,3,19.945987654320987,341.1727120876312,0.9172837783261276,0.9212962962962963
Image,DAS,symmetric,0.2,3,19.945987654320987,341.17274260520935,0.915959393400547,0.9200617283950617
Image,PlainStack,symmetric,0.2,4,19.33641975308642,339.7824504375458,0.9271112740865579,0.9299382716049382
Image,DAS,symmetric,0.2,4,19.33641975308642,339.7824764251709,0.928054433187403,0.9308641975308642
Image,PlainStack,symmetric,0.4,0,39.513888888888886,357.3534908294678,0.9125912422441598,0.9163580246913581
Image,DAS,symmetric,0.4,0,39.513888888888886,357.3535168170929,0.912964776711445,0.9166666666666666
Image,PlainStack,symmetric,0.4,1,40.08487654320987,356.3628423213959,0.9118556606236764,0.9145061728395062
Image,DAS,symmetric,0.4,1,40.08487654320987,356.36287093162537,0.9113837602734096,0.9135802469135802
Image,PlainStack,symmetric,0.4,2,39.41358024691358,363.14588379859924,0.9230136838474822,0.9256172839506173
Image,DAS,symmetric,0.4,2,39.41358024691358,363.14590978622437,0.9216044835955793,0.9243827160493827
Image,PlainStack,symmetric,0.4,3,39.96141975308642,360.98403787612915,0.9103642393746828,0.9145061728395062
Image,DAS,symmetric,0.4,3,39.96141975308642,360.9840667247772,0.9118935006427756,0.9157407407407407
