params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9396211114041089,0.002276096552631898,1,3.2717951933542886
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.9390659858858413,0.001368034684268513,2,5.238972345987956
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.93847674742867,0.001683853418385649,3,6.877200921376546
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9384593102189315,0.001130077904909018,4,2.4371259212493896
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.938425318128814,0.0024609033478004486,5,2.3415966828664145
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9382500945106794,0.0022585449220433084,6,2.6318953037261963
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.9382465990533436,0.0018270946432599345,7,5.367485125859578
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.9382097382482567,0.0015783459649361883,8,3.925093173980713
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9381957912240512,0.0013989265514601859,9,2.966038783391317
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.9381392314446634,0.001708850157094642,10,4.0291439692179365
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.9378982121232026,0.0021341986207223393,11,4.550508340199788
