model,noise_type,noise_level,mean,std
RF_100k,asymmetric,0.0,0.8522805888358331,0.006031666884341782
RF_100k,asymmetric,0.1,0.8337681421004197,0.002998789003123754
RF_100k,asymmetric,0.2,0.7795111830767318,0.007414656617179731
RF_100k,asymmetric,0.3,0.6742679546166961,0.009535571886159071
RF_100k,asymmetric,0.4,0.5427787675046942,0.009041708822595028
RF_100k,pairflip,0.4,0.6919716160039011,0.004625301620209389
RF_100k,symmetric,0.0,0.8522805888358331,0.006031666884341782
RF_100k,symmetric,0.1,0.8352639244932872,0.0037329309329178118
RF_100k,symmetric,0.2,0.7938237628569774,0.004179505684302984
RF_100k,symmetric,0.3,0.729123710775133,0.006946358417875446
RF_100k,symmetric,0.4,0.6491006324756189,0.003320599562014837
Voting_100k,asymmetric,0.0,0.8861400882623283,0.0074093144544185915
Voting_100k,asymmetric,0.1,0.8509555626286385,0.005317553363403036
Voting_100k,asymmetric,0.2,0.7907129146956424,0.00696348402442491
Voting_100k,asymmetric,0.3,0.6844429531932462,0.007915793681921196
Voting_100k,asymmetric,0.4,0.555005596397143,0.009070174627135334
Voting_100k,pairflip,0.4,0.7021991816965434,0.003762936665050873
Voting_100k,symmetric,0.0,0.8861400882623283,0.0074093144544185915
Voting_100k,symmetric,0.1,0.8509772790712787,0.004394830617265151
Voting_100k,symmetric,0.2,0.8069881912795959,0.003912858699181797
Voting_100k,symmetric,0.3,0.7478776415288146,0.007086554638114173
Voting_100k,symmetric,0.4,0.666788410488901,0.004793144178993102
XGBoost_100k,asymmetric,0.0,0.8874673397319739,0.006433819405155093
XGBoost_100k,asymmetric,0.1,0.8433530533755504,0.006308416239874612
XGBoost_100k,asymmetric,0.2,0.7766587801555083,0.006948388602721277
XGBoost_100k,asymmetric,0.3,0.662921525589895,0.008974743306585656
XGBoost_100k,asymmetric,0.4,0.5336803340414896,0.00879745005467695
XGBoost_100k,pairflip,0.4,0.6875472190561416,0.005167285398179648
XGBoost_100k,symmetric,0.0,0.8874673397319739,0.006433819405155093
XGBoost_100k,symmetric,0.1,0.8489609524459443,0.0018268030434161597
XGBoost_100k,symmetric,0.2,0.8069730518061263,0.006433406822107007
XGBoost_100k,symmetric,0.3,0.7477918147444621,0.007892344955978273
XGBoost_100k,symmetric,0.4,0.6674172081633806,0.00556844337275073
