dataset,condition,fold,method,f1,noise_type,noise_level
drybean,asymmetric_10,0,RF,0.9283742782196238,asymmetric,10
drybean,asymmetric_10,1,RF,0.9274967194248956,asymmetric,10
drybean,asymmetric_10,2,RF,0.9326184638778426,asymmetric,10
drybean,asymmetric_10,3,RF,0.9283070264956031,asymmetric,10
drybean,asymmetric_10,4,RF,0.933339344358861,asymmetric,10
drybean,asymmetric_20,0,RF,0.915051098441802,asymmetric,20
drybean,asymmetric_20,1,RF,0.9172181643632794,asymmetric,20
drybean,asymmetric_20,2,RF,0.9167622817461754,asymmetric,20
drybean,asymmetric_20,3,RF,0.8961163906527065,asymmetric,20
drybean,asymmetric_20,4,RF,0.922540782974348,asymmetric,20
drybean,asymmetric_30,0,RF,0.8344226172288819,asymmetric,30
drybean,asymmetric_30,1,RF,0.8597765382471768,asymmetric,30
drybean,asymmetric_30,2,RF,0.8494791404194026,asymmetric,30
drybean,asymmetric_30,3,RF,0.8378398535376567,asymmetric,30
drybean,asymmetric_30,4,RF,0.8408998647699883,asymmetric,30
drybean,asymmetric_40,0,RF,0.7113745526522364,asymmetric,40
drybean,asymmetric_40,1,RF,0.6525490546776443,asymmetric,40
drybean,asymmetric_40,2,RF,0.7072176471296086,asymmetric,40
drybean,asymmetric_40,3,RF,0.6760423007995872,asymmetric,40
drybean,asymmetric_40,4,RF,0.6992551579004734,asymmetric,40
drybean,clean_0,0,RF,0.931704388251975,clean,0
drybean,clean_0,1,RF,0.9350232076136492,clean,0
drybean,clean_0,2,RF,0.928183835582868,clean,0
drybean,clean_0,3,RF,0.9311646682608576,clean,0
drybean,clean_0,4,RF,0.9401223284598788,clean,0
drybean,pairflip_40,0,RF,0.8131293245250538,pairflip,40
drybean,pairflip_40,1,RF,0.8121062843003906,pairflip,40
drybean,pairflip_40,2,RF,0.8147180259933872,pairflip,40
drybean,pairflip_40,3,RF,0.8178092910669299,pairflip,40
drybean,pairflip_40,4,RF,0.8122311989758116,pairflip,40
drybean,symmetric_10,0,RF,0.931772828813112,symmetric,10
drybean,symmetric_10,1,RF,0.9354326350283876,symmetric,10
drybean,symmetric_10,2,RF,0.9313646782700618,symmetric,10
drybean,symmetric_10,3,RF,0.924444664633645,symmetric,10
drybean,symmetric_10,4,RF,0.93866059107673,symmetric,10
drybean,symmetric_20,0,RF,0.932776598459414,symmetric,20
drybean,symmetric_20,1,RF,0.933838194647897,symmetric,20
drybean,symmetric_20,2,RF,0.9274607661721184,symmetric,20
drybean,symmetric_20,3,RF,0.9239764937463594,symmetric,20
drybean,symmetric_20,4,RF,0.9355492247789196,symmetric,20
drybean,symmetric_30,0,RF,0.9124895263817436,symmetric,30
drybean,symmetric_30,1,RF,0.9192961835950156,symmetric,30
drybean,symmetric_30,2,RF,0.9158300733113622,symmetric,30
drybean,symmetric_30,3,RF,0.9111698217883,symmetric,30
drybean,symmetric_30,4,RF,0.923581387098288,symmetric,30
drybean,symmetric_40,0,RF,0.8925841345178949,symmetric,40
drybean,symmetric_40,1,RF,0.9099884387126216,symmetric,40
drybean,symmetric_40,2,RF,0.8952423275399318,symmetric,40
drybean,symmetric_40,3,RF,0.8988772630954784,symmetric,40
drybean,symmetric_40,4,RF,0.9134534877205088,symmetric,40
har,asymmetric_10,0,RF,0.9748959295067702,asymmetric,10
har,asymmetric_10,1,RF,0.9766751366361768,asymmetric,10
har,asymmetric_10,2,RF,0.9586825033074614,asymmetric,10
har,asymmetric_10,3,RF,0.967114078320684,asymmetric,10
har,asymmetric_10,4,RF,0.968610960216748,asymmetric,10
har,asymmetric_20,0,RF,0.9634118703458224,asymmetric,20
har,asymmetric_20,1,RF,0.9693715044536212,asymmetric,20
har,asymmetric_20,2,RF,0.9544596632170492,asymmetric,20
har,asymmetric_20,3,RF,0.9569887804396284,asymmetric,20
har,asymmetric_20,4,RF,0.9577896444668084,asymmetric,20
har,asymmetric_30,0,RF,0.9330105080566264,asymmetric,30
har,asymmetric_30,1,RF,0.9304408466296332,asymmetric,30
har,asymmetric_30,2,RF,0.9058733368811368,asymmetric,30
har,asymmetric_30,3,RF,0.9331242269396928,asymmetric,30
har,asymmetric_30,4,RF,0.9288082302264016,asymmetric,30
har,asymmetric_40,0,RF,0.8061485665383734,asymmetric,40
har,asymmetric_40,1,RF,0.7986649953023192,asymmetric,40
har,asymmetric_40,2,RF,0.7961954132391885,asymmetric,40
har,asymmetric_40,3,RF,0.8032821459297207,asymmetric,40
har,asymmetric_40,4,RF,0.8160013181254874,asymmetric,40
har,clean_0,0,RF,0.9699296008783276,clean,0
har,clean_0,1,RF,0.9786240200671372,clean,0
har,clean_0,2,RF,0.9671673491591298,clean,0
har,clean_0,3,RF,0.969647081244678,clean,0
har,clean_0,4,RF,0.9656345701714903,clean,0
har,pairflip_40,0,RF,0.848451895345015,pairflip,40
har,pairflip_40,1,RF,0.8603594548537844,pairflip,40
har,pairflip_40,2,RF,0.8603834729800622,pairflip,40
har,pairflip_40,3,RF,0.8758555826595297,pairflip,40
har,pairflip_40,4,RF,0.8632842931988876,pairflip,40
har,symmetric_10,0,RF,0.9699318331442616,symmetric,10
har,symmetric_10,1,RF,0.9750441430560964,symmetric,10
har,symmetric_10,2,RF,0.9673732089426772,symmetric,10
har,symmetric_10,3,RF,0.9723213467118352,symmetric,10
har,symmetric_10,4,RF,0.969093515750895,symmetric,10
har,symmetric_20,0,RF,0.9667008819104798,symmetric,20
har,symmetric_20,1,RF,0.9782310216536492,symmetric,20
har,symmetric_20,2,RF,0.9628034709755062,symmetric,20
