dataset,condition,RF,XGB,ET,Voting,PlainStack,DAS,CL_XGB,GCE_XGB
cifar10,asymmetric_10,0.8244,0.8685,0.8312,0.8694,0.8642,0.8647,0.8646,0.8664
cifar10,asymmetric_20,0.8194,0.8489,0.8262,0.8543,0.8349,0.8378,0.8569,0.8496
cifar10,asymmetric_30,0.8058,0.8022,0.8128,0.8249,0.7802,0.7851,0.8515,0.8003
cifar10,asymmetric_40,0.7417,0.6727,0.7474,0.7178,0.6753,0.68,0.8074,0.673
cifar10,c10n_aggre_0,0.8241,0.8671,0.8296,0.8675,0.8665,0.8682,0.864,0.8663
cifar10,c10n_random1_0,0.8207,0.8602,0.8259,0.8614,0.8614,0.8626,0.8587,0.8544
cifar10,c10n_worse_0,0.7857,0.7993,0.7897,0.8128,0.812,0.8167,0.8289,0.7913
cifar10,clean_0,0.8257,0.8766,0.831,0.8738,0.875,0.8753,0.8671,0.8762
cifar10,pairflip_40,0.7605,0.7548,0.764,0.7747,0.8068,0.8019,0.828,0.7551
cifar10,symmetric_10,0.8255,0.8718,0.8345,0.8717,0.8725,0.8719,0.8645,0.8689
cifar10,symmetric_20,0.8236,0.8598,0.8299,0.8619,0.8603,0.861,0.8604,0.8556
cifar10,symmetric_30,0.8224,0.8516,0.8288,0.8574,0.8535,0.8542,0.8552,0.843
cifar10,symmetric_40,0.8175,0.8341,0.8235,0.8472,0.8422,0.8423,0.851,0.8225
drybean,asymmetric_10,0.93,0.9312,0.9242,0.9327,0.9292,0.9302,0.9368,0.9327
drybean,asymmetric_20,0.9135,0.8949,0.8974,0.9165,0.9012,0.9037,0.933,0.8964
drybean,asymmetric_30,0.8445,0.81,0.8178,0.8442,0.844,0.8461,0.9151,0.8203
drybean,asymmetric_40,0.6893,0.6663,0.6605,0.6938,0.7721,0.7614,0.7978,0.6843
drybean,clean_0,0.9332,0.9398,0.9266,0.9383,0.9383,0.9375,0.9373,0.9381
drybean,pairflip_40,0.814,0.8033,0.8015,0.8138,0.8025,0.8024,0.8711,0.8078
drybean,symmetric_10,0.9323,0.9363,0.9235,0.9374,0.9374,0.9376,0.9354,0.9383
drybean,symmetric_20,0.9307,0.9322,0.9221,0.9327,0.9358,0.9352,0.9332,0.9353
drybean,symmetric_30,0.9165,0.9183,0.9033,0.9242,0.9244,0.9245,0.9295,0.9242
drybean,symmetric_40,0.902,0.9025,0.8776,0.9104,0.9141,0.9126,0.9264,0.9053
fmnist,asymmetric_10,0.8589,0.892,0.8596,0.8881,0.8889,0.8891,0.8845,0.8905
fmnist,asymmetric_20,0.8575,0.8822,0.8569,0.8827,0.8737,0.8762,0.8807,0.8807
fmnist,asymmetric_30,0.8525,0.8455,0.8515,0.8681,0.838,0.8426,0.8763,0.8408
fmnist,asymmetric_40,0.8069,0.7075,0.809,0.7653,0.7546,0.7583,0.8553,0.7053
fmnist,clean_0,0.8609,0.8965,0.8604,0.892,0.8932,0.8939,0.8879,0.8958
fmnist,pairflip_40,0.8141,0.7843,0.8116,0.8079,0.8432,0.8387,0.8553,0.7819
fmnist,symmetric_10,0.8596,0.8921,0.8591,0.8885,0.8914,0.8916,0.8837,0.8919
fmnist,symmetric_20,0.8582,0.8862,0.8596,0.8834,0.8864,0.8867,0.8789,0.8856
fmnist,symmetric_30,0.8604,0.8809,0.8585,0.8815,0.8815,0.8813,0.8755,0.8765
fmnist,symmetric_40,0.8553,0.8687,0.8535,0.873,0.8721,0.8727,0.871,0.8602
har,asymmetric_10,0.9692,0.9786,0.9749,0.9811,0.9744,0.9783,0.9816,0.9781
har,asymmetric_20,0.9604,0.9563,0.9613,0.9662,0.9511,0.9591,0.9751,0.9536
har,asymmetric_30,0.9263,0.8866,0.9231,0.9177,0.916,0.9297,0.9534,0.8875
har,asymmetric_40,0.8041,0.7258,0.7908,0.7685,0.8475,0.8504,0.8788,0.7314
har,clean_0,0.9702,0.9882,0.9787,0.9858,0.9883,0.9873,0.9883,0.9877
har,pairflip_40,0.8617,0.8049,0.8526,0.8297,0.8521,0.8516,0.8973,0.8108
har,symmetric_10,0.9708,0.9831,0.9765,0.9833,0.9838,0.9838,0.9806,0.9804
har,symmetric_20,0.9682,0.9771,0.9743,0.9806,0.9783,0.9791,0.9808,0.9774
har,symmetric_30,0.9649,0.9683,0.9698,0.973,0.972,0.9716,0.9689,0.9623
har,symmetric_40,0.9613,0.9445,0.9633,0.9659,0.9614,0.9616,0.9657,0.9375
isolet,asymmetric_10,0.9349,0.9357,0.9437,0.9473,0.9401,0.9376,0.9386,0.9317
isolet,asymmetric_20,0.9282,0.9101,0.9384,0.9311,0.9167,0.9163,0.9354,0.9033
isolet,asymmetric_30,0.8908,0.8308,0.9073,0.8735,0.8489,0.8427,0.914,0.8234
isolet,asymmetric_40,0.7506,0.6769,0.7635,0.7153,0.7104,0.6953,0.7936,0.6687
isolet,clean_0,0.9354,0.9439,0.9444,0.9482,0.9502,0.9484,0.9448,0.944
isolet,pairflip_40,0.8729,0.875,0.8839,0.883,0.8678,0.8726,0.8872,0.8739
isolet,symmetric_10,0.9357,0.9454,0.9443,0.9511,0.9504,0.9488,0.9401,0.9384
isolet,symmetric_20,0.9321,0.9341,0.9457,0.9411,0.9409,0.9401,0.9342,0.9275
isolet,symmetric_30,0.9286,0.922,0.9389,0.9366,0.9343,0.9313,0.9299,0.9071
isolet,symmetric_40,0.9252,0.9149,0.9333,0.9361,0.932,0.9223,0.9236,0.8912
pendigits,asymmetric_10,0.9867,0.9756,0.987,0.9845,0.9737,0.9758,0.9868,0.9739
pendigits,asymmetric_20,0.9677,0.9309,0.9688,0.9565,0.9459,0.9436,0.9822,0.9245
pendigits,asymmetric_30,0.9071,0.8337,0.9022,0.8757,0.9228,0.9144,0.9561,0.8276
pendigits,asymmetric_40,0.74,0.6725,0.7424,0.7047,0.8595,0.8313,0.8251,0.6724
pendigits,clean_0,0.991,0.9908,0.9928,0.9923,0.9923,0.9922,0.9898,0.9914
pendigits,pairflip_40,0.8423,0.8055,0.8399,0.8222,0.8415,0.8216,0.8894,0.8004
pendigits,symmetric_10,0.9894,0.9881,0.9907,0.9911,0.9894,0.9893,0.9866,0.9869
pendigits,symmetric_20,0.9842,0.9795,0.9855,0.9858,0.9836,0.9819,0.9835,0.9803
pendigits,symmetric_30,0.9777,0.9609,0.9731,0.9757,0.9711,0.9696,0.9846,0.962
