params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.8931526291739802,0.004166082608962927,1,46.71283435821533
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.8919845642766595,0.0032178368290790333,2,52.278081814448036
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.8911910839678773,0.0036382560065859122,3,48.78845794995626
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.890999964245045,0.0046048973905520015,4,36.04344908396403
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.8904680267476227,0.002849499746916183,5,52.58235001564026
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.8902912983330383,0.003534616386980572,6,67.30887770652771
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.8899334449905879,0.0037507212500387578,7,57.998052517573036
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.8898903567254864,0.0032429177008831845,8,65.92577862739563
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.889774504722721,0.002936412106771065,9,40.69310204188029
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 1.0}",0.8895644354127713,0.0030395556197618068,10,37.658133109410606
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.8895319530956143,0.004085138587683004,11,73.30455660820007
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.8888519863341656,0.003745052982707943,12,54.25316516558329
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.8888473796426754,0.003415901628099559,13,115.57593027750652
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.8885139925906618,0.004142985985504267,14,59.7456488609314
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.8883938121633915,0.004327592580211493,15,122.42198220888774
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 1.0}",0.8883861120821317,0.0036046744577453277,16,68.88225054740906
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.8883198605607939,0.00350499717959271,17,60.76854260762533
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 1.0}",0.8882756927658789,0.003369396990478859,18,41.03059101104736
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.8873121904677254,0.003078734052663159,19,96.91968274116516
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.8871689037582007,0.0030007249055705966,20,42.34505812327067
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 1.0}",0.886916536352332,0.003881915519974389,21,75.5762272675832
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.8868806778675951,0.0038575363227621967,22,149.02634453773499
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.8868531072461696,0.0029823809264856705,23,102.58847220738728
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 1.0}",0.8867661472586347,0.004789361634418807,24,117.3995422522227
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.8866441849439776,0.004679070612939056,25,89.07380016644795
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.8865184465852258,0.004166878504916264,26,95.58014512062073
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 1.0}",0.8863379297376177,0.0039023635225608577,27,55.757192611694336
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.8862062445508366,0.003468975153930489,28,161.46909260749817
