condition,friedman_chi2,p_value,rank_RF,rank_XGB,rank_ET,rank_Voting,rank_PlainStack,rank_DAS,rank_CL_XGB,rank_GCE_XGB
clean_0,24.875,0.000799,7.12,3.62,6.25,4.12,2.12,3.5,5.38,3.88
symmetric_10,26.792,0.000363,7.0,3.75,6.25,3.38,2.5,2.88,6.0,4.25
symmetric_20,11.917,0.103333,6.25,5.25,5.38,2.88,3.38,3.75,4.38,4.75
symmetric_30,16.5,0.020921,5.62,5.75,5.25,2.62,3.5,3.75,3.38,6.12
symmetric_40,22.583,0.002014,5.5,5.75,5.12,2.88,3.75,4.38,2.0,6.62
asymmetric_10,11.583,0.115121,6.25,3.62,5.0,3.0,5.75,4.38,3.62,4.38
asymmetric_20,17.5,0.014442,4.88,5.38,4.5,3.0,5.75,5.0,1.88,5.62
asymmetric_30,23.333,0.001491,3.75,6.38,4.38,4.38,5.0,4.12,1.5,6.5
asymmetric_40,28.958,0.000147,4.38,7.0,4.38,5.0,3.25,3.5,1.75,6.75
pairflip_40,20.333,0.004893,4.25,6.12,4.88,4.88,4.0,4.5,1.38,6.0
