dataset,noise_type,n,mean_das_delta,wilcoxon_p
drybean,symmetric,20,-0.0004,0.5217
drybean,asymmetric,20,-0.0013,0.8983
drybean,pairflip,5,-0.0002,1.0
har,symmetric,20,0.0001,0.9563
har,asymmetric,20,0.0071,0.0
har,pairflip,5,-0.0005,1.0
isolet,symmetric,20,-0.0038,0.0094
isolet,asymmetric,20,-0.0061,0.0037
isolet,pairflip,5,0.0047,0.3125
pendigits,symmetric,20,-0.0014,0.0136
pendigits,asymmetric,20,-0.0092,0.0094
pendigits,pairflip,5,-0.02,0.0625
satimage,symmetric,20,-0.0035,0.0532
satimage,asymmetric,20,-0.0018,0.8124
satimage,pairflip,5,-0.0099,0.3125
shuttle,symmetric,20,0.0264,1.0
shuttle,asymmetric,20,0.009,0.9563
shuttle,pairflip,5,0.0277,0.0625
ALL_POOLED,symmetric,120,0.0029,0.0017
ALL_POOLED,asymmetric,120,-0.0004,0.3704
ALL_POOLED,pairflip,30,0.0003,0.9354
ALL_POOLED,all,270,0.0012,0.0336
