dataset,condition,method,f1_clean,f1_noisy,rel_drop_pct
cifar10,symmetric_40,RF,0.8257,0.8175,0.99
cifar10,symmetric_40,XGB,0.8766,0.8341,4.85
cifar10,symmetric_40,ET,0.831,0.8235,0.9
cifar10,symmetric_40,Voting,0.8738,0.8472,3.04
cifar10,symmetric_40,PlainStack,0.875,0.8422,3.75
cifar10,symmetric_40,DAS,0.8753,0.8423,3.77
cifar10,asymmetric_40,RF,0.8257,0.7417,10.17
cifar10,asymmetric_40,XGB,0.8766,0.6727,23.26
cifar10,asymmetric_40,ET,0.831,0.7474,10.06
cifar10,asymmetric_40,Voting,0.8738,0.7178,17.85
cifar10,asymmetric_40,PlainStack,0.875,0.6753,22.82
cifar10,asymmetric_40,DAS,0.8753,0.68,22.31
cifar10,pairflip_40,RF,0.8257,0.7605,7.9
cifar10,pairflip_40,XGB,0.8766,0.7548,13.89
cifar10,pairflip_40,ET,0.831,0.764,8.06
cifar10,pairflip_40,Voting,0.8738,0.7747,11.34
cifar10,pairflip_40,PlainStack,0.875,0.8068,7.79
cifar10,pairflip_40,DAS,0.8753,0.8019,8.39
cifar10,c10n_aggre_0,RF,0.8257,0.8241,0.19
cifar10,c10n_aggre_0,XGB,0.8766,0.8671,1.08
cifar10,c10n_aggre_0,ET,0.831,0.8296,0.17
cifar10,c10n_aggre_0,Voting,0.8738,0.8675,0.72
cifar10,c10n_aggre_0,PlainStack,0.875,0.8665,0.97
cifar10,c10n_aggre_0,DAS,0.8753,0.8682,0.81
cifar10,c10n_random1_0,RF,0.8257,0.8207,0.61
cifar10,c10n_random1_0,XGB,0.8766,0.8602,1.87
cifar10,c10n_random1_0,ET,0.831,0.8259,0.61
cifar10,c10n_random1_0,Voting,0.8738,0.8614,1.42
cifar10,c10n_random1_0,PlainStack,0.875,0.8614,1.55
cifar10,c10n_random1_0,DAS,0.8753,0.8626,1.45
cifar10,c10n_worse_0,RF,0.8257,0.7857,4.84
cifar10,c10n_worse_0,XGB,0.8766,0.7993,8.82
cifar10,c10n_worse_0,ET,0.831,0.7897,4.97
cifar10,c10n_worse_0,Voting,0.8738,0.8128,6.98
cifar10,c10n_worse_0,PlainStack,0.875,0.812,7.2
cifar10,c10n_worse_0,DAS,0.8753,0.8167,6.69
fmnist,symmetric_40,RF,0.8609,0.8553,0.65
fmnist,symmetric_40,XGB,0.8965,0.8687,3.1
fmnist,symmetric_40,ET,0.8604,0.8535,0.8
fmnist,symmetric_40,Voting,0.892,0.873,2.13
fmnist,symmetric_40,PlainStack,0.8932,0.8721,2.36
fmnist,symmetric_40,DAS,0.8939,0.8727,2.37
fmnist,asymmetric_40,RF,0.8609,0.8069,6.27
fmnist,asymmetric_40,XGB,0.8965,0.7075,21.08
fmnist,asymmetric_40,ET,0.8604,0.809,5.97
fmnist,asymmetric_40,Voting,0.892,0.7653,14.2
fmnist,asymmetric_40,PlainStack,0.8932,0.7546,15.52
fmnist,asymmetric_40,DAS,0.8939,0.7583,15.17
fmnist,pairflip_40,RF,0.8609,0.8141,5.44
fmnist,pairflip_40,XGB,0.8965,0.7843,12.52
fmnist,pairflip_40,ET,0.8604,0.8116,5.67
fmnist,pairflip_40,Voting,0.892,0.8079,9.43
fmnist,pairflip_40,PlainStack,0.8932,0.8432,5.6
fmnist,pairflip_40,DAS,0.8939,0.8387,6.18
