dataset,condition,noise_type,fold,actual_noise_pct,f1_RF,acc_RF,f1_XGB,acc_XGB,f1_ET,acc_ET,f1_Voting,acc_Voting,f1_PlainStack,acc_PlainStack,f1_DAS,acc_DAS,mean_pairwise_kappa,f1_best_single,stack_gap_vs_best,das_delta
cifar10,asymmetric_10,asymmetric,0,10.158333333333333,0.821381647871825,0.822,0.8661232490658353,0.8663333333333333,0.832074855444748,0.833,0.8651681382771061,0.8653333333333333,0.859564655358728,0.8596666666666667,0.860984459300089,0.861,0.8822222372373494,0.8661232490658353,-0.006558593707107319,0.0014198039413610974
cifar10,asymmetric_10,asymmetric,1,10.1625,0.8294235363256174,0.8296666666666667,0.8727080299124002,0.8726666666666667,0.8309393799086788,0.8316666666666667,0.8738835456029571,0.8738333333333334,0.8711745198650702,0.871,0.8719290864826871,0.8718333333333333,0.883469365512024,0.8727080299124002,-0.0015335100473299335,0.0007545666176168586
cifar10,asymmetric_10,asymmetric,2,10.05,0.8273853105509854,0.8276666666666667,0.8690091169379279,0.8688333333333333,0.8306247628762542,0.8313333333333334,0.871437825041942,0.8713333333333333,0.8640983474379095,0.8636666666666667,0.8631478468147888,0.8626666666666667,0.8839090935560284,0.8690091169379279,-0.004910769500018453,-0.0009505006231206314
cifar10,asymmetric_10,asymmetric,3,9.766666666666666,0.8262913674677653,0.8263333333333334,0.8764133168374606,0.8761666666666666,0.8384750660791911,0.8388333333333333,0.8761517227391948,0.876,0.8694224887432114,0.8691666666666666,0.8701971706363183,0.87,0.8858111701150468,0.8764133168374606,-0.006990828094249224,0.000774681893106921
cifar10,asymmetric_10,asymmetric,4,10.2875,0.8175929006243365,0.8181666666666667,0.8584323822895568,0.8583333333333333,0.8239950615696188,0.8241666666666667,0.8601109487162567,0.86,0.8567287025755297,0.8565,0.8574846888101229,0.8573333333333333,0.881356581227127,0.8584323822895568,-0.0017036797140270732,0.0007559862345931645
cifar10,asymmetric_20,asymmetric,0,20.125,0.8174082800539659,0.818,0.8393884962022995,0.8395,0.8233857685674746,0.8245,0.8447450883137421,0.845,0.8226056883271337,0.8225,0.8287092512915267,0.8285,0.8665527934827009,0.8393884962022995,-0.01678280787516584,0.006103562964393072
cifar10,asymmetric_20,asymmetric,1,19.9125,0.8222185461309074,0.8226666666666667,0.853132106076622,0.8531666666666666,0.8293487439042664,0.8296666666666667,0.8579716510610229,0.858,0.8394828742755072,0.8393333333333334,0.842574653938723,0.8425,0.8701606873322482,0.853132106076622,-0.01364923180111488,0.0030917796632158323
cifar10,asymmetric_20,asymmetric,2,19.4375,0.8208221657885983,0.8211666666666667,0.8527134522569148,0.8528333333333333,0.8239698774942295,0.8245,0.8580687990961214,0.8581666666666666,0.8365990769088899,0.8366666666666667,0.8380924844712709,0.838,0.8714086539657947,0.8527134522569148,-0.016114375348024845,0.0014934075623810328
cifar10,asymmetric_20,asymmetric,3,20.2875,0.8236826362319041,0.8238333333333333,0.8536901794151,0.8536666666666667,0.8312379035589489,0.8315,0.860433217843782,0.8605,0.8425296476684482,0.8423333333333334,0.8438372509028943,0.8436666666666667,0.8752416750300979,0.8536901794151,-0.01116053174665177,0.0013076032344461197
cifar10,asymmetric_20,asymmetric,4,19.8375,0.8128843740131592,0.8131666666666667,0.8455591925675077,0.8455,0.8228354806067735,0.823,0.8501248348295782,0.85,0.8334585636224787,0.8331666666666667,0.8355493713920994,0.8353333333333334,0.8702468849901059,0.8455591925675077,-0.012100628945028946,0.002090807769620673
