dataset,condition,f1_RF,f1_XGB,f1_ET,f1_Voting,f1_PlainStack,f1_DAS,mean_pairwise_kappa
drybean,asymmetric_10,0.93,0.9312,0.9242,0.9327,0.9292,0.9302,0.9603
drybean,asymmetric_20,0.9135,0.8949,0.8974,0.9165,0.9012,0.9037,0.928
drybean,asymmetric_30,0.8445,0.81,0.8178,0.8442,0.844,0.8461,0.861
drybean,asymmetric_40,0.6893,0.6663,0.6605,0.6938,0.7721,0.7614,0.7647
drybean,clean_0,0.9332,0.9398,0.9266,0.9383,0.9383,0.9375,0.9626
drybean,pairflip_40,0.814,0.8033,0.8015,0.8138,0.8025,0.8024,0.8482
drybean,symmetric_10,0.9323,0.9363,0.9235,0.9374,0.9374,0.9376,0.9596
drybean,symmetric_20,0.9307,0.9322,0.9221,0.9327,0.9358,0.9352,0.9581
drybean,symmetric_30,0.9165,0.9183,0.9033,0.9242,0.9244,0.9245,0.9443
drybean,symmetric_40,0.902,0.9025,0.8776,0.9104,0.9141,0.9126,0.9183
har,asymmetric_10,0.9692,0.9786,0.9749,0.9811,0.9744,0.9783,0.973
har,asymmetric_20,0.9604,0.9563,0.9613,0.9662,0.9511,0.9591,0.9563
har,asymmetric_30,0.9263,0.8866,0.9231,0.9177,0.916,0.9297,0.902
har,asymmetric_40,0.8041,0.7258,0.7908,0.7685,0.8475,0.8504,0.796
har,clean_0,0.9702,0.9882,0.9787,0.9858,0.9883,0.9873,0.9773
har,pairflip_40,0.8617,0.8049,0.8526,0.8297,0.8521,0.8516,0.8456
har,symmetric_10,0.9708,0.9831,0.9765,0.9833,0.9838,0.9838,0.9771
har,symmetric_20,0.9682,0.9771,0.9743,0.9806,0.9783,0.9791,0.9705
har,symmetric_30,0.9649,0.9683,0.9698,0.973,0.972,0.9716,0.962
har,symmetric_40,0.9613,0.9445,0.9633,0.9659,0.9614,0.9616,0.9449
isolet,asymmetric_10,0.9349,0.9357,0.9437,0.9473,0.9401,0.9376,0.9482
isolet,asymmetric_20,0.9282,0.9101,0.9384,0.9311,0.9167,0.9163,0.9323
isolet,asymmetric_30,0.8908,0.8308,0.9073,0.8735,0.8489,0.8427,0.8771
isolet,asymmetric_40,0.7506,0.6769,0.7635,0.7153,0.7104,0.6953,0.7816
isolet,clean_0,0.9354,0.9439,0.9444,0.9482,0.9502,0.9484,0.9576
isolet,pairflip_40,0.8729,0.875,0.8839,0.883,0.8678,0.8726,0.9105
isolet,symmetric_10,0.9357,0.9454,0.9443,0.9511,0.9504,0.9488,0.9539
isolet,symmetric_20,0.9321,0.9341,0.9457,0.9411,0.9409,0.9401,0.9467
isolet,symmetric_30,0.9286,0.922,0.9389,0.9366,0.9343,0.9313,0.9392
isolet,symmetric_40,0.9252,0.9149,0.9333,0.9361,0.932,0.9223,0.9301
pendigits,asymmetric_10,0.9867,0.9756,0.987,0.9845,0.9737,0.9758,0.9803
pendigits,asymmetric_20,0.9677,0.9309,0.9688,0.9565,0.9459,0.9436,0.9498
pendigits,asymmetric_30,0.9071,0.8337,0.9022,0.8757,0.9228,0.9144,0.8966
pendigits,asymmetric_40,0.74,0.6725,0.7424,0.7047,0.8595,0.8313,0.834
pendigits,clean_0,0.991,0.9908,0.9928,0.9923,0.9923,0.9922,0.9932
pendigits,pairflip_40,0.8423,0.8055,0.8399,0.8222,0.8415,0.8216,0.9013
pendigits,symmetric_10,0.9894,0.9881,0.9907,0.9911,0.9894,0.9893,0.9903
pendigits,symmetric_20,0.9842,0.9795,0.9855,0.9858,0.9836,0.9819,0.9808
pendigits,symmetric_30,0.9777,0.9609,0.9731,0.9757,0.9711,0.9696,0.9682
pendigits,symmetric_40,0.9643,0.9276,0.9496,0.9532,0.9477,0.9454,0.9385
satimage,asymmetric_10,0.8869,0.8861,0.891,0.8898,0.8844,0.8847,0.948
satimage,asymmetric_20,0.8765,0.8478,0.8829,0.8744,0.86,0.8608,0.9211
satimage,asymmetric_30,0.832,0.769,0.8393,0.8088,0.8205,0.8229,0.8669
satimage,asymmetric_40,0.7167,0.6379,0.7251,0.6805,0.7465,0.7356,0.7995
satimage,clean_0,0.8904,0.898,0.8932,0.8984,0.8998,0.8981,0.9593
satimage,pairflip_40,0.7685,0.7378,0.7727,0.7557,0.7842,0.7742,0.8821
satimage,symmetric_10,0.8863,0.8898,0.8904,0.8918,0.8922,0.8925,0.954
satimage,symmetric_20,0.8894,0.8825,0.8882,0.8917,0.8863,0.8821,0.9481
satimage,symmetric_30,0.8817,0.8569,0.8817,0.8771,0.8769,0.8754,0.9277
satimage,symmetric_40,0.8664,0.8176,0.8673,0.8592,0.8618,0.8532,0.8995
shuttle,asymmetric_10,0.7293,0.902,0.7008,0.776,0.8373,0.9017,0.7972
shuttle,asymmetric_20,0.6661,0.8262,0.6416,0.7075,0.7755,0.7888,0.6909
shuttle,asymmetric_30,0.5987,0.7668,0.5826,0.6401,0.8035,0.7795,0.6078
shuttle,asymmetric_40,0.5131,0.6513,0.5103,0.5416,0.8226,0.8049,0.5649
shuttle,clean_0,0.9064,0.9407,0.8775,0.9102,0.9454,0.945,0.991
shuttle,pairflip_40,0.4948,0.6569,0.4865,0.5246,0.6349,0.6627,0.5691
shuttle,symmetric_10,0.7244,0.9343,0.6808,0.8075,0.9187,0.9176,0.8368
shuttle,symmetric_20,0.6394,0.8861,0.5968,0.7398,0.7526,0.8407,0.7245
shuttle,symmetric_30,0.5634,0.8608,0.5281,0.6762,0.7431,0.7639,0.6274
shuttle,symmetric_40,0.4768,0.7891,0.4543,0.5897,0.7319,0.7294,0.5368
