dataset,condition,f1_RF,f1_XGB,f1_ET,f1_Voting,f1_PlainStack,f1_DAS,mean_pairwise_kappa
cifar10,asymmetric_10,0.8244,0.8685,0.8312,0.8694,0.8642,0.8647,0.8834
cifar10,asymmetric_20,0.8194,0.8489,0.8262,0.8543,0.8349,0.8378,0.8707
cifar10,asymmetric_30,0.8058,0.8022,0.8128,0.8249,0.7802,0.7851,0.8324
cifar10,asymmetric_40,0.7417,0.6727,0.7474,0.7178,0.6753,0.68,0.7164
cifar10,c10n_aggre_0,0.8241,0.8671,0.8296,0.8675,0.8665,0.8682,0.889
cifar10,c10n_random1_0,0.8207,0.8602,0.8259,0.8614,0.8614,0.8626,0.8785
cifar10,c10n_worse_0,0.7857,0.7993,0.7897,0.8128,0.812,0.8167,0.8255
cifar10,clean_0,0.8257,0.8766,0.831,0.8738,0.875,0.8753,0.8949
cifar10,pairflip_40,0.7605,0.7548,0.764,0.7747,0.8068,0.8019,0.7607
cifar10,symmetric_10,0.8255,0.8718,0.8345,0.8717,0.8725,0.8719,0.8848
cifar10,symmetric_20,0.8236,0.8598,0.8299,0.8619,0.8603,0.861,0.878
cifar10,symmetric_30,0.8224,0.8516,0.8288,0.8574,0.8535,0.8542,0.8682
cifar10,symmetric_40,0.8175,0.8341,0.8235,0.8472,0.8422,0.8423,0.851
fmnist,asymmetric_10,0.8589,0.892,0.8596,0.8881,0.8889,0.8891,0.9272
fmnist,asymmetric_20,0.8575,0.8822,0.8569,0.8827,0.8737,0.8762,0.9191
fmnist,asymmetric_30,0.8525,0.8455,0.8515,0.8681,0.838,0.8426,0.8886
fmnist,asymmetric_40,0.8069,0.7075,0.809,0.7653,0.7546,0.7583,0.7665
fmnist,clean_0,0.8609,0.8965,0.8604,0.892,0.8932,0.8939,0.928
fmnist,pairflip_40,0.8141,0.7843,0.8116,0.8079,0.8432,0.8387,0.8146
fmnist,symmetric_10,0.8596,0.8921,0.8591,0.8885,0.8914,0.8916,0.9274
fmnist,symmetric_20,0.8582,0.8862,0.8596,0.8834,0.8864,0.8867,0.9243
fmnist,symmetric_30,0.8604,0.8809,0.8585,0.8815,0.8815,0.8813,0.9168
fmnist,symmetric_40,0.8553,0.8687,0.8535,0.873,0.8721,0.8727,0.9055
