params,mean_test_score,std_test_score,mean_fit_time,rank_test_score
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 0.8}",0.9441015689272924,0.004026871598388695,35.554659843444824,1
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",0.9434364838335365,0.005789919263382239,27.404476483662922,2
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 0.8}",0.9434009913285797,0.004223096018460208,28.308069944381714,3
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 0.8}",0.9431809448366106,0.0049771700122636115,36.009949366251625,4
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",0.9430529806876686,0.007511713806895142,21.65585772196452,5
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 0.8}",0.9430471718580208,0.0071125721550503,28.001429478327434,6
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 0.8}",0.9429899304225784,0.005566638273809301,28.34983189900716,7
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 0.8}",0.9429806621376414,0.0042360189098097235,27.884183247884113,8
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 0.8}",0.9429758155559188,0.004173055388807878,28.806588252385456,9
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 0.8}",0.9427751194054396,0.006278216953871458,34.64372706413269,10
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 0.8}",0.9426427686391188,0.006778643751825664,37.43958671887716,11
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",0.9425895579456937,0.005733751174994673,20.850460052490234,12
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 0.8}",0.9423681661974869,0.006596254840883169,37.89443381627401,13
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 0.8}",0.9423632506480425,0.005756362248402607,27.276534875233967,14
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 0.8}",0.9423595427317789,0.004540024599605125,27.626000086466473,15
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 0.8}",0.942291150719532,0.004219332377775645,21.467112859090168,16
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 0.8}",0.9421859065214827,0.005532950501973914,36.48889525731405,17
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.9421626662817962,0.0075890005669372864,15.20487872759501,18
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 0.8}",0.9421533046647772,0.00500906377416666,21.284848133722942,19
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 0.8}",0.9419821701414507,0.006358251831593195,30.204858938852947,20
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 0.8}",0.941936698099236,0.007046441525804497,22.090451161066692,21
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",0.9419335129448455,0.0064332664872362175,29.24196195602417,22
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 0.8}",0.9417160181030358,0.006199670958946543,28.58167354265849,23
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 0.8}",0.9415208723430398,0.006110918633140704,30.621841271718342,24
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 0.8}",0.9412930140827118,0.006203416294815991,22.321442127227783,25
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.9410457138916142,0.004546777426329698,14.32036821047465,26
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.9408908069663356,0.00631615548344924,14.729869365692139,27
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 1.0}",0.9408359824235477,0.0030987870864874383,27.741970618565876,28
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 1.0}",0.9408358602161533,0.0034301184822760054,21.286482095718384,29
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 1.0}",0.9407384675038432,0.005209335705495249,28.19000705083211,30
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.9404781503951707,0.0039944508426526994,13.902201255162558,31
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.9404075894762571,0.006502434421013301,15.442011197408041,32
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.9403842941582087,0.0038484475233205822,14.518187443415323,33
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 1.0}",0.9399786959089672,0.003381998219758545,28.104539076487224,34
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 1.0}",0.9396037937948752,0.0058464560593939115,35.483386278152466,35
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 1.0}",0.9395813109857833,0.005257895666132921,39.45367558797201,36
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.9395003593388632,0.0030381981430131887,21.735825141270954,37
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.9393875961603588,0.004252513343518857,31.278096437454224,38
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.9391189044459871,0.004433000441220019,18.620235761006672,39
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 1.0}",0.9389570809609596,0.006780197433657651,28.733616987864178,40
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.9389516194586419,0.004847424766720557,23.939207156499226,41
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.9383581841584357,0.003890981204587873,31.222645839055378,42
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 1.0}",0.938327104352064,0.006288067931762722,22.126087824503582,43
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.9381328385712139,0.005666761315899305,42.896631717681885,44
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 1.0}",0.9381146544502093,0.006117274980674845,28.355785528818767,45
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.938111196517851,0.006589283452733118,22.554494380950928,46
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.9380729707518495,0.002486835141727645,14.700397570927938,47
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.9380447392226223,0.006100830206727485,19.673014322916668,48
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 1.0}",0.9377383588762606,0.007656264315347339,30.127997318903606,49
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 600, ""subsample"": 1.0}",0.9377090683181932,0.007228400869415293,37.368290742238365,50
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.9375886353299471,0.003494600817935252,14.25333301226298,51
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.9374220643346933,0.007724260051622877,20.285705884297688,52
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.9372613868081364,0.005187670153419553,33.697507778803505,53
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 1.0}",0.9372535269103003,0.007376335749034266,38.40304660797119,54
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.9372396745833272,0.006521098484931357,21.83948262532552,55
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.9372221752238198,0.006062897831392368,21.37426980336507,56
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}",0.9371942084917224,0.004354026590372455,20.187077522277832,57
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.9370085253948366,0.003937481952221793,15.928685029347738,58
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.9368072334245725,0.005247752454308034,28.99368230501811,59
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.9366075353460125,0.00517524534257988,31.750229279200237,60
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.9365797262549534,0.005525389391518705,31.31714955965678,61
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.9364700098465608,0.004385340592869373,19.51653520266215,62
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.9364141985480359,0.005804400023989347,38.94651405016581,63
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.9364039412006818,0.005379800044360868,22.808135588963825,64
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.9363824172064077,0.006465462272717376,15.616867701212565,65
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.9362028822674553,0.00430671722155153,15.12986167271932,66
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.9347093870254426,0.003199185550480408,15.892966111501059,67
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.9346953936393051,0.003682812244129678,21.562180280685425,68
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.9338614765535646,0.003919355725600592,23.065152247746784,69
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.9323183072995641,0.004660629637257306,21.239564418792725,70
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 1.0}",0.9320935028609206,0.005024164004717569,23.03220542271932,71
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 1.0}",0.9314246793659526,0.004672380434033321,22.48084020614624,72
