domain,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,kappa_RF_XGB,kappa_RF_ET,kappa_XGB_ET,kappa_mean,full_agreement_rate,f1_RF,f1_XGB,f1_ET
Tabular,symmetric,0.0,0,0.0,52.38961172103882,0.9090375646432263,0.9321763262052551,0.8919025644570613,0.9110388184351809,0.9177,0.8452537395730595,0.8877325141516378,0.8526017490820355
Tabular,symmetric,0.0,1,0.0,53.97776699066162,0.9092345916852085,0.9410030543193652,0.8925067472045303,0.9142481310697014,0.9208,0.8509447668577529,0.8849035583492019,0.8559973308629699
Tabular,symmetric,0.0,2,0.0,54.735716819763184,0.9142772999625686,0.9384932955397713,0.8955390897816293,0.9161032284279896,0.9222,0.8484052926420247,0.8782810157697228,0.8531005339902897
Tabular,symmetric,0.0,3,0.0,55.03908371925354,0.9068260085847172,0.9380119047855461,0.8887485290708046,0.9111954808136892,0.91795,0.8569060621514389,0.8911370692030793,0.8594196980592825
Tabular,symmetric,0.0,4,0.0,52.95193648338318,0.9092282515938217,0.9350676116348576,0.8907780393367841,0.9116913008551545,0.91845,0.8598930829548894,0.8952825411862282,0.8660564954147013
Tabular,symmetric,0.1,0,10.13875,64.23583793640137,0.8991695293624713,0.9055187902455979,0.8513598432247841,0.885349387610951,0.8937,0.8399252944945141,0.8506438357001207,0.7591045240118015
Tabular,symmetric,0.1,1,9.936250000000001,66.18908739089966,0.9029968294156826,0.9138968857013535,0.8604626624491183,0.8924521258553848,0.9001,0.8335886601538657,0.8493762439098297,0.7668732672009374
Tabular,symmetric,0.1,2,10.19375,68.27511715888977,0.90102072118253,0.9142781734737672,0.8620350054082436,0.8924446333548469,0.8995,0.8313919045634798,0.8483266845555749,0.7675587489330337
Tabular,symmetric,0.1,3,10.08375,64.55236744880676,0.8963274039638884,0.9107028337386829,0.8500892696202159,0.8857065024409291,0.89365,0.8328944758846443,0.8503349984425604,0.7632514998736504
Tabular,symmetric,0.1,4,10.10875,67.80417490005493,0.895540033780077,0.902369331498662,0.8503881315630041,0.882765832280581,0.8912,0.8385192873699321,0.8461229996216352,0.774734720360513
Tabular,symmetric,0.2,0,19.885,68.82885599136353,0.8768140062877157,0.873290474432545,0.8093499615103853,0.8531514807435486,0.8615,0.7916574242204801,0.8093230355973482,0.6886693857987484
Tabular,symmetric,0.2,1,20.07125,68.86271095275879,0.8788792092050127,0.873637163064381,0.804497856526524,0.852338076265306,0.8605,0.7946633536250324,0.805622467231001,0.6931343792383344
Tabular,symmetric,0.2,2,19.92625,67.86132574081421,0.8799352105998204,0.8762399384339873,0.8138948770079126,0.8566900086805734,0.86455,0.7878989610314591,0.7979525532188434,0.6921302120271156
Tabular,symmetric,0.2,3,20.09,71.83645105361938,0.8768905711749367,0.8738434771718735,0.8054762765555337,0.8520701083007812,0.86065,0.796208696827567,0.8062576106687824,0.6887997030906056
Tabular,symmetric,0.2,4,20.01875,66.98166561126709,0.8781363891246302,0.8688587149365369,0.8038255356858404,0.8502735465823358,0.8589,0.7986903785803484,0.8157095923146561,0.7027968998994208
Tabular,symmetric,0.3,0,29.898750000000003,72.18070459365845,0.8394486504997375,0.8329341492234551,0.7385706689320559,0.8036511562184162,0.8105,0.7333746097684856,0.7591665024598545,0.6175991039108519
Tabular,symmetric,0.3,1,30.056250000000002,72.63853478431702,0.8476198732799742,0.8399559577825672,0.7535231152786083,0.8136996487803833,0.8206,0.7379787785412182,0.7506485664520727,0.6279101447974295
Tabular,symmetric,0.3,2,30.03125,69.83733081817627,0.8435961952949135,0.8353381563270552,0.7471359498151209,0.8086901004790299,0.81555,0.7296645919277959,0.7436419851659605,0.6213127059375968
Tabular,symmetric,0.3,3,29.983749999999997,71.77065205574036,0.8453851286527887,0.8371644306400944,0.74775618328605,0.8101019141929777,0.81735,0.721052402149852,0.7380834959970575,0.6166336881103742
Tabular,symmetric,0.3,4,30.051250000000003,69.53970074653625,0.84530562535865,0.8372539982467708,0.7487706747447431,0.810443432783388,0.8173,0.7235481714883135,0.7474185236473655,0.6229192853440318
Tabular,symmetric,0.4,0,40.082499999999996,75.29057693481445,0.7851879562466415,0.8059101252000069,0.6804660772737077,0.7571880529067854,0.75725,0.644497044545132,0.667189781900979,0.5483694836415133
Tabular,symmetric,0.4,1,39.9325,71.41274809837341,0.7922534458807651,0.8125641541781381,0.6823830715511825,0.7624002238700286,0.76315,0.651346331509208,0.6688882382043324,0.553042810674807
Tabular,symmetric,0.4,2,40.21125,71.89103412628174,0.7959849390831982,0.8022771424105775,0.6785174971581979,0.7589265262173246,0.7589,0.646945915567861,0.6709882868921241,0.5453189706491534
Tabular,symmetric,0.4,3,40.08875,75.82198095321655,0.7914147844786353,0.8154152337573389,0.6829821021699495,0.7632707068019746,0.76405,0.6525907767970808,0.6719909630695791,0.5552003573894363
Tabular,symmetric,0.4,4,39.975,71.34681582450867,0.7910537636411954,0.8006133239283246,0.6789022428750817,0.7568564434815338,0.7584,0.6501230939588127,0.6580287707498886,0.5485023402552301
Tabular,asymmetric,0.0,0,0.0,53.743674993515015,0.9090375646432263,0.9321763262052551,0.8919025644570613,0.9110388184351809,0.9177,0.8452537395730595,0.8877325141516378,0.8526017490820355
Tabular,asymmetric,0.0,1,0.0,52.487460136413574,0.9092345916852085,0.9410030543193652,0.8925067472045303,0.9142481310697014,0.9208,0.8509447668577529,0.8849035583492019,0.8559973308629699
