domain,noise_type,noise_level,kappa_mean_mean,kappa_mean_std,full_agreement_rate_mean,full_agreement_rate_std
Image,asymmetric,0.0,0.9423027699516222,0.004711745210217573,0.9238271604938271,0.006353078502775598
Image,asymmetric,0.1,0.9397311833605935,0.0031996436748785045,0.9206790123456792,0.004192307934322885
Image,asymmetric,0.2,0.928564884098626,0.004515240385623423,0.9061728395061728,0.00589255650988789
Image,asymmetric,0.3,0.8921830984624531,0.006608958945143003,0.8585802469135804,0.00891168630061799
Image,asymmetric,0.4,0.7746648869021093,0.010023142226232242,0.7055555555555555,0.013017960931458758
Image,pairflip,0.4,0.8382898569414088,0.005733184995014114,0.7898148148148147,0.007768341326329122
Image,symmetric,0.0,0.9423027699516222,0.004711745210217573,0.9238271604938271,0.006353078502775598
Image,symmetric,0.1,0.9390530163583231,0.0032432670661261447,0.919753086419753,0.004112010060022925
Image,symmetric,0.2,0.936578376867342,0.0050034035197858255,0.9166666666666666,0.006392689869508637
Image,symmetric,0.3,0.9324096707741341,0.0022041104041307623,0.9116666666666667,0.0025206811097648676
Image,symmetric,0.4,0.9190902158637393,0.005543942586676103,0.8952469135802469,0.007217208347192092
Tabular,asymmetric,0.0,0.9128553919203432,0.0022303876588833397,0.91942,0.0019807195662183033
Tabular,asymmetric,0.1,0.8868250888067349,0.0033266653782547243,0.89543,0.003065452658254571
Tabular,asymmetric,0.2,0.8401935137024547,0.002293725639744028,0.8508699999999999,0.0021804815981796215
Tabular,asymmetric,0.3,0.7638929273794391,0.0016377359985163705,0.7736799999999999,0.0015098013114314037
Tabular,asymmetric,0.4,0.6902270333715034,0.004910148304093261,0.68984,0.004752288922193205
Tabular,pairflip,0.4,0.792712454474905,0.002414612369206973,0.78842,0.0024417207047490188
Tabular,symmetric,0.0,0.9128553919203432,0.0022303876588833397,0.91942,0.0019807195662183033
Tabular,symmetric,0.1,0.8877436963085386,0.004442131278602953,0.89563,0.003944236301237545
Tabular,symmetric,0.2,0.852904644114509,0.002362733406216455,0.86122,0.002085245788869998
Tabular,symmetric,0.3,0.809317250490839,0.003660168708236008,0.81626,0.0037009120497520543
Tabular,symmetric,0.4,0.7597283906555294,0.0029593529458582703,0.7603500000000001,0.0030432301917535033
