domain,noise_type,noise_level,kappa_mean,full_agreement_rate,gap
Image,asymmetric,0.0,0.9423027699516222,0.9238271604938271,0.0018454331966241133
Image,asymmetric,0.1,0.9397311833605935,0.9206790123456792,-0.0017535667651973341
Image,asymmetric,0.2,0.928564884098626,0.9061728395061728,-0.017935135835164928
Image,asymmetric,0.3,0.8921830984624531,0.8585802469135804,-0.027244547464720603
Image,asymmetric,0.4,0.7746648869021093,0.7055555555555555,0.007639701245487518
Image,pairflip,0.4,0.8382898569414088,0.7898148148148147,0.050491799296366935
Image,symmetric,0.0,0.9423027699516222,0.9238271604938271,0.0018454331966241133
Image,symmetric,0.1,0.9390530163583231,0.919753086419753,0.003317627730654138
Image,symmetric,0.2,0.936578376867342,0.9166666666666666,0.0003473590934846005
Image,symmetric,0.3,0.9324096707741341,0.9116666666666667,-0.0036162506707639874
Image,symmetric,0.4,0.9190902158637393,0.8952469135802469,-0.005057810100067672
Tabular,asymmetric,0.0,0.9128553919203432,0.91942,0.0033127810477385777
Tabular,asymmetric,0.1,0.8868250888067349,0.89543,0.007438987769680772
Tabular,asymmetric,0.2,0.8401935137024547,0.8508699999999999,0.032850838076668554
Tabular,asymmetric,0.3,0.7638929273794391,0.7736799999999999,0.09426523063871406
Tabular,asymmetric,0.4,0.6902270333715034,0.68984,0.12805742495258166
Tabular,pairflip,0.4,0.792712454474905,0.78842,0.10713105444516913
Tabular,symmetric,0.0,0.9128553919203432,0.91942,0.0033127810477385777
Tabular,symmetric,0.1,0.8877436963085386,0.89563,0.0050216858500462536
Tabular,symmetric,0.2,0.852904644114509,0.86122,0.021486784717485996
Tabular,symmetric,0.3,0.809317250490839,0.81626,0.03255042651327833
Tabular,symmetric,0.4,0.7597283906555294,0.7603500000000001,0.01078808348145599
