ensemble,domain,noise_type,f1_clean,f1_at_40_noise,absolute_drop,relative_drop_pct,nsi_slope
RF,Image,asymmetric,0.9024,0.8035,0.0989,10.95,-0.2177
Stacking,Image,asymmetric,0.9352,0.7766,0.1586,16.96,-0.3852
Voting,Image,asymmetric,0.9334,0.7689,0.1644,17.62,-0.3713
XGBoost,Image,asymmetric,0.9349,0.7205,0.2144,22.93,-0.4934
RF,Image,symmetric,0.9024,0.8954,0.007,0.77,-0.0153
Stacking,Image,symmetric,0.9352,0.9141,0.0211,2.26,-0.0569
Voting,Image,symmetric,0.9334,0.9192,0.0142,1.52,-0.0361
XGBoost,Image,symmetric,0.9349,0.9094,0.0255,2.72,-0.0622
RF,Tabular,asymmetric,0.9107,0.5881,0.3226,35.42,-0.8151
Stacking,Tabular,asymmetric,0.8895,0.6831,0.2064,23.2,-0.4925
Voting,Tabular,asymmetric,0.933,0.6043,0.3286,35.22,-0.824
XGBoost,Tabular,asymmetric,0.9362,0.6077,0.3285,35.09,-0.8125
RF,Tabular,symmetric,0.9107,0.7068,0.2039,22.39,-0.5126
Stacking,Tabular,symmetric,0.8895,0.6776,0.2119,23.82,-0.4993
Voting,Tabular,symmetric,0.933,0.761,0.172,18.44,-0.4224
XGBoost,Tabular,symmetric,0.9362,0.8071,0.1292,13.79,-0.3114
