model,noise_type,noise_level,fold,domain,ensemble,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
RF,pairflip,0.4,0,Tabular,RF,278884,69722,24.744696719783136,102.21386384963988,0.7901092911849918,0.7338665393737024,0.8120504026821722,0.9249895130229188,0.9541717477675936,0.9393540391913872,25421,0.9259904222899434,0.6882280268266855,0.7895989065690229,33996,0.2627785058977719,0.7476112794220462,0.3888720528516879,4291,0.8333333333333334,0.9090909090909092,0.8695652173913043,330,0.8502673796791443,0.8375768217734855,0.843874391862008,1139,0.6024150268336315,0.6463531669865643,0.6236111111111111,2084,0.7051170858629662,0.6607070296627388,0.6821900566393958,2461,,,,,,,,,,,,
RF,pairflip,0.4,1,Tabular,RF,278885,69721,24.60942682467684,99.753657579422,0.7904648527703274,0.7259500078792096,0.8124914474418954,0.92598816116097,0.953817709767515,0.9396969344649848,25421,0.92997898576583,0.6899341098952818,0.7921711670635122,33996,0.2647686248769281,0.7522144522144523,0.3916737468139337,4290,0.7891891891891892,0.8875379939209727,0.8354792560801144,329,0.8465562336530078,0.8525021949078139,0.8495188101487314,1139,0.5731549417350021,0.6372360844529751,0.6034992047261986,2084,0.6942869603139992,0.6466287571080422,0.6696109358569926,2462,,,,,,,,,,,,
RF,pairflip,0.4,2,Tabular,RF,278885,69721,24.625921078580777,102.77891612052916,0.7933334289525394,0.736067636064425,0.8138008255123725,0.9200774546282936,0.9532669839896148,0.9363782144168163,25421,0.9264446275155938,0.6946699611719026,0.793988602551818,33996,0.2723659732792153,0.7508158508158508,0.3997269793993547,4290,0.8115183246073299,0.9393939393939394,0.8707865168539326,330,0.8586858685868587,0.8375768217734855,0.848,1139,0.5923650724001756,0.6477927063339731,0.618840247536099,2084,0.7096774193548387,0.6615197074360016,0.6847528916929548,2461,,,,,,,,,,,,
RF,pairflip,0.4,3,Tabular,RF,278885,69721,24.540581243164745,98.14180731773376,0.7942513733308473,0.7356899534522007,0.8153375324476272,0.9255042787286064,0.9529916211006648,0.9390468438087486,25421,0.928114828032472,0.6961407224379339,0.7955626523237247,33996,0.2699293642785065,0.7482517482517482,0.3967371153133111,4290,0.7914572864321608,0.9545454545454546,0.8653846153846154,330,0.8565101860053145,0.848990342405619,0.8527336860670194,1139,0.5897321428571428,0.6338771593090211,0.6110083256244219,2084,0.7000418935902807,0.678992279561154,0.6893564356435643,2461,,,,,,,,,,,,
RF,pairflip,0.4,4,Tabular,RF,278885,69721,24.41795005109633,97.13308596611024,0.7933621147143616,0.7351747549001424,0.8142858673059001,0.9233202484850794,0.9530684500393392,0.937958535782729,25420,0.9254117647058824,0.6941404871161313,0.7932634126663978,33996,0.2704560697518444,0.7518061058028431,0.3978050434675381,4291,0.8097826086956522,0.9030303030303032,0.8538681948424068,330,0.8464285714285714,0.8323090430201932,0.8393094289508632,1139,0.5951199338296113,0.6904990403071017,0.6392714349178144,2084,0.7346368715083799,0.6412027631044291,0.684747233673248,2461,,,,,,,,,,,,
XGBoost,pairflip,0.4,0,Tabular,XGBoost,278884,69722,24.744696719783136,37.49907994270325,0.8201571957201457,0.7488952896708813,0.8369749709871903,0.9372641689217516,0.9673498288816332,0.9520693793797668,25421,0.9268887675223012,0.748823390987175,0.8283952425115114,33996,0.2943743937924345,0.7072943369843859,0.4157249503458667,4291,0.9111111111111112,0.8696969696969697,0.889922480620155,330,0.8891867739052726,0.8735733099209834,0.8813108945969885,1139,0.5985882352941176,0.6103646833013435,0.6044191019244476,2084,0.7187354718735471,0.6281999187322227,0.6704249783174328,2461,,,,,,,,,,,,
XGBoost,pairflip,0.4,1,Tabular,XGBoost,278885,69721,24.60942682467684,38.67498588562012,0.8231809641284549,0.7451339945925497,0.8397590665604164,0.9421852221284432,0.9660910271035758,0.9539883854176784,25421,0.9289739884393065,0.7563831038945759,0.8338413645502303,33996,0.3006213630535556,0.7104895104895105,0.4224825005197865,4290,0.8840125391849529,0.8571428571428571,0.8703703703703703,329,0.9048473967684022,0.8849868305531168,0.8948069241011984,1139,0.5726691042047533,0.6012476007677543,0.5866104868913857,2084,0.6902934537246049,0.6210398050365556,0.653837930297199,2462,,,,,,,,,,,,
XGBoost,pairflip,0.4,2,Tabular,XGBoost,278885,69721,24.625921078580777,39.1696355342865,0.8228223921056783,0.749208804941366,0.838110523989205,0.9318026824278244,0.9674678415483262,0.9493003956383288,25421,0.9258578431372548,0.7555888928109189,0.832102364755426,33996,0.3039732414352321,0.6990675990675991,0.4237072619384007,4290,0.8779761904761905,0.8939393939393939,0.8858858858858859,330,0.915032679738562,0.8604038630377524,0.8868778280542986,1139,0.5888468809073724,0.5978886756238004,0.5933333333333334,2084,0.7142206016408387,0.6367330353514832,0.6732545649838882,2461,,,,,,,,,,,,
XGBoost,pairflip,0.4,3,Tabular,XGBoost,278885,69721,24.540581243164745,39.64176082611084,0.8262933692861548,0.7532891716705288,0.8418377729322489,0.938898878983816,0.965343613547854,0.9519376236471546,25421,0.9267429388630676,0.7624720555359454,0.8366200819804409,33996,0.3076767676767676,0.71002331002331,0.4293164200140944,4290,0.8942598187311178,0.896969696969697,0.8956127080181543,330,0.9210526315789472,0.8604038630377524,0.8896958692691784,1139,0.5963884821864324,0.5863723608445297,0.5913380111299298,2084,0.7070484581497798,0.6521739130434783,0.6785034876347495,2461,,,,,,,,,,,,
XGBoost,pairflip,0.4,4,Tabular,XGBoost,278885,69721,24.41795005109633,39.63529944419861,0.8242710230776954,0.7511707186614405,0.8397275037188091,0.935443279313632,0.9650668764752164,0.9500242036983252,25420,0.9264309098104112,0.7575008824567596,0.8334924667842636,33996,0.3088279602289846,0.716616173386157,0.4316395283548568,4291,0.8892307692307693,0.8757575757575757,0.8824427480916031,330,0.8987341772151899,0.8726953467954346,0.8855233853006681,1139,0.587201442091032,0.6252399232245681,0.6056239832674878,2084,0.7284894837476099,0.6192604632263308,0.6694487151328794,2461,,,,,,,,,,,,
