params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.9890293539351379,0.002706904209358182,1,3.7591164112091064
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.9888723193102852,0.002256817890923393,2,3.894459327061971
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.9888589056456073,0.002523432515635427,3,3.7993350823720298
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.988739038680755,0.002305951895850608,4,2.912752310434977
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.9887289585958957,0.002258946213424804,5,3.0223910013834634
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 1.0}",0.9886886398212731,0.002879745763817984,6,2.460817734400431
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.9885653912695219,0.0033364249032052516,7,2.199132521947225
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 1.0}",0.9885610214759627,0.0033527768261616413,8,3.3081260522206626
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.9885519579397579,0.0030121024813797555,9,3.5944862365722656
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9884180898473999,0.003246704455991473,10,1.4153070449829102
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.9882912486674859,0.002321384167771826,11,2.356314261754354
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.9882895829908648,0.0020750388161243872,12,3.0714217821756997
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9881327844036173,0.0024105701334270727,13,1.641360600789388
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 1.0}",0.9881239640504997,0.0030130189185208624,14,2.4666014512379966
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.9881237486612552,0.003697872082118617,15,3.8323691685994468
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.988076565569939,0.003311627336865808,16,2.9984230995178223
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600, 'subsample': 1.0}",0.9879724790192886,0.003116898736883364,17,3.6454245249430337
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.9879661719542034,0.0028769750090307683,18,3.1885629494984946
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400, 'subsample': 1.0}",0.9879639341068177,0.0028408282207881288,19,3.061427195866903
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.9878353685659218,0.002678408719314928,20,3.017454226811727
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.9878209363690277,0.0026786711943142458,21,2.521003166834513
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.9878186150603191,0.0030402627874844402,22,4.364879290262858
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 1.0}",0.9878076194153018,0.0029112588143373154,23,2.194905678431193
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 1.0}",0.9877948926779124,0.003210297573242893,24,2.9650138219197593
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 1.0}",0.9876833839964397,0.00332554792251953,25,1.432708740234375
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.9876690438530916,0.0027551862492497235,26,2.972419818242391
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9876631008052174,0.0023885932223854885,27,1.3314478397369385
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.8}",0.9876507308226858,0.0024667906932136566,28,3.1194851398468018
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.98753660789469,0.0018700537819374388,29,1.8390230337778728
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 400, 'subsample': 1.0}",0.9875356642965333,0.0031180835384554658,30,3.0050347646077475
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 1.0}",0.9875347414704452,0.0034454583151292857,31,3.8779205481211343
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.9875306663025253,0.0028165280676228947,32,2.3853069146474204
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9875300486859233,0.0024910647983726365,33,1.449928840001424
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400, 'subsample': 1.0}",0.9875273014481881,0.003105875263171301,34,2.9691781202952066
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.98751756417875,0.0028064303776684624,35,1.437181870142619
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.9875124602592811,0.0025341943080480988,36,2.1835781733194985
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9872482079607264,0.002131124657530576,37,2.2201809088389077
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9872373949862073,0.0028632617846033825,38,1.9049864610036213
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9872361911218969,0.0024889239438778666,39,2.13808544476827
