source_file,domain,who,noise_type,levels,f1_clean,f1_at_max,nsi_slope
equal_n_intermediate.csv,Tabular,RF_100k,asymmetric,5,0.8523,0.5428,-0.7785
equal_n_intermediate.csv,Tabular,RF_100k,symmetric,5,0.8523,0.6491,-0.5125
equal_n_intermediate.csv,Tabular,Voting_100k,asymmetric,5,0.8861,0.555,-0.8288
equal_n_intermediate.csv,Tabular,Voting_100k,symmetric,5,0.8861,0.6668,-0.5418
equal_n_intermediate.csv,Tabular,XGBoost_100k,asymmetric,5,0.8875,0.5337,-0.888
equal_n_intermediate.csv,Tabular,XGBoost_100k,symmetric,5,0.8875,0.6674,-0.5413
equal_n_results_full.csv,Tabular,RF_100k,asymmetric,5,0.8523,0.5428,-0.7785
equal_n_results_full.csv,Tabular,RF_100k,symmetric,5,0.8523,0.6491,-0.5125
equal_n_results_full.csv,Tabular,Voting_100k,asymmetric,5,0.8861,0.555,-0.8288
equal_n_results_full.csv,Tabular,Voting_100k,symmetric,5,0.8861,0.6668,-0.5418
equal_n_results_full.csv,Tabular,XGBoost_100k,asymmetric,5,0.8875,0.5337,-0.888
equal_n_results_full.csv,Tabular,XGBoost_100k,symmetric,5,0.8875,0.6674,-0.5413
master_all_results.csv,Image,RandomForest_Image/RF,asymmetric,5,0.9024,0.8035,-0.2177
master_all_results.csv,Image,RandomForest_Image/RF,symmetric,5,0.9024,0.8954,-0.0153
master_all_results.csv,Image,Stacking_Image/Stacking,asymmetric,5,0.9352,0.7766,-0.3852
master_all_results.csv,Image,Stacking_Image/Stacking,symmetric,5,0.9352,0.9141,-0.0569
master_all_results.csv,Image,Voting_Image/Voting,asymmetric,5,0.9334,0.7689,-0.3713
master_all_results.csv,Image,Voting_Image/Voting,symmetric,5,0.9334,0.9192,-0.0361
master_all_results.csv,Image,XGBoost_Image/XGBoost,asymmetric,5,0.9349,0.7205,-0.4934
master_all_results.csv,Image,XGBoost_Image/XGBoost,symmetric,5,0.9349,0.9094,-0.0622
master_all_results.csv,Tabular,RandomForest/RF,asymmetric,5,0.9107,0.5881,-0.8151
master_all_results.csv,Tabular,RandomForest/RF,symmetric,5,0.9107,0.7068,-0.5126
master_all_results.csv,Tabular,Stacking/Stacking,asymmetric,5,0.8895,0.6831,-0.4925
master_all_results.csv,Tabular,Stacking/Stacking,symmetric,5,0.8895,0.6776,-0.4993
master_all_results.csv,Tabular,Voting/Voting,asymmetric,5,0.933,0.6043,-0.824
master_all_results.csv,Tabular,Voting/Voting,symmetric,5,0.933,0.761,-0.4224
master_all_results.csv,Tabular,XGBoost/XGBoost,asymmetric,5,0.9362,0.6077,-0.8125
master_all_results.csv,Tabular,XGBoost/XGBoost,symmetric,5,0.9362,0.8071,-0.3114
rf_image_results_full.csv,Image,RandomForest_Image,asymmetric,5,0.9024,0.8035,-0.2177
rf_image_results_full.csv,Image,RandomForest_Image,symmetric,5,0.9024,0.8954,-0.0153
rf_image_results_intermediate.csv,Image,RandomForest_Image,asymmetric,5,0.9024,0.8035,-0.2177
rf_image_results_intermediate.csv,Image,RandomForest_Image,symmetric,5,0.9024,0.8954,-0.0153
rf_results_full.csv,UNKNOWN,RandomForest,asymmetric,5,0.9107,0.5881,-0.8151
rf_results_full.csv,UNKNOWN,RandomForest,symmetric,5,0.9107,0.7068,-0.5126
rf_results_intermediate.csv,UNKNOWN,RandomForest,asymmetric,5,0.9107,0.5881,-0.8151
rf_results_intermediate.csv,UNKNOWN,RandomForest,symmetric,5,0.9107,0.7068,-0.5126
stacking_asymmetric_results_full.csv,UNKNOWN,Stacking_Image,asymmetric,5,0.9352,0.7766,-0.3852
stacking_asymmetric_results_intermediate.csv,UNKNOWN,Stacking_Image,asymmetric,5,0.9352,0.7766,-0.3852
stacking_results_full.csv,UNKNOWN,Stacking,asymmetric,5,0.8895,0.6831,-0.4925
stacking_results_full.csv,UNKNOWN,Stacking,symmetric,5,0.8895,0.6776,-0.4993
stacking_results_intermediate.csv,UNKNOWN,Stacking,asymmetric,5,0.8895,0.6831,-0.4925
stacking_results_intermediate.csv,UNKNOWN,Stacking,symmetric,5,0.8895,0.6776,-0.4993
stacking_symmetric_results_full.csv,UNKNOWN,Stacking_Image,symmetric,5,0.9352,0.9141,-0.0569
stacking_symmetric_results_intermediate.csv,UNKNOWN,Stacking_Image,symmetric,5,0.9352,0.9141,-0.0569
voting_image_results_full.csv,Image,Voting_Image,asymmetric,5,0.9334,0.7689,-0.3713
voting_image_results_full.csv,Image,Voting_Image,symmetric,5,0.9334,0.9192,-0.0361
voting_image_results_intermediate.csv,Image,Voting_Image,asymmetric,5,0.9334,0.7689,-0.3713
voting_image_results_intermediate.csv,Image,Voting_Image,symmetric,5,0.9334,0.9192,-0.0361
voting_results_full.csv,UNKNOWN,Voting,asymmetric,5,0.933,0.6043,-0.824
voting_results_full.csv,UNKNOWN,Voting,symmetric,5,0.933,0.761,-0.4224
voting_results_intermediate.csv,UNKNOWN,Voting,asymmetric,5,0.933,0.6043,-0.824
voting_results_intermediate.csv,UNKNOWN,Voting,symmetric,5,0.933,0.761,-0.4224
xgb_image_results_full.csv,Image,XGBoost_Image,asymmetric,5,0.9349,0.7205,-0.4934
xgb_image_results_full.csv,Image,XGBoost_Image,symmetric,5,0.9349,0.9094,-0.0622
xgb_image_results_intermediate.csv,Image,XGBoost_Image,asymmetric,5,0.9349,0.7205,-0.4934
xgb_image_results_intermediate.csv,Image,XGBoost_Image,symmetric,5,0.9349,0.9094,-0.0622
xgb_results_full.csv,UNKNOWN,XGBoost,asymmetric,5,0.9362,0.6077,-0.8125
xgb_results_full.csv,UNKNOWN,XGBoost,symmetric,5,0.9362,0.8071,-0.3114
xgb_results_intermediate.csv,UNKNOWN,XGBoost,asymmetric,5,0.9362,0.6077,-0.8125
xgb_results_intermediate.csv,UNKNOWN,XGBoost,symmetric,5,0.9362,0.8071,-0.3114
