noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
asymmetric,0.0,0.9155080390017334,0.955132201197648,0.9058967061537819,0.8187491410510528,0.9320001383205389,0.8797286880513988,0.8746448386210857,0.9440940040288576,0.8305447549803242,0.9672465870548542
asymmetric,0.1,0.9203940513930619,0.9540839459248366,0.9069509714002366,0.812135213640753,0.9267975161899941,0.8833072468753583,0.8699321001327966,0.9369357612474729,0.8305422351986884,0.9678380831870561
asymmetric,0.2,0.9155057884762028,0.9536770912669013,0.9003394387521798,0.794998043124661,0.9147596198758772,0.8762519965001723,0.8578964979301793,0.9307711391347017,0.8256154391822926,0.9684609927294074
asymmetric,0.3,0.9085230970993863,0.9369699077683886,0.8812716847695274,0.77328090775654,0.8974401772296519,0.8638157079777697,0.8496704407205131,0.9189771344469971,0.8143045677650551,0.9644410589230518
asymmetric,0.4,0.8735126497427077,0.8774566327612078,0.8015642749237987,0.6608655081565706,0.8249741368126422,0.7649615296697523,0.7551853170259628,0.8470486018661061,0.7227798500771636,0.9066674153677127
symmetric,0.0,0.9155080390017334,0.955132201197648,0.9058967061537819,0.8187491410510528,0.9320001383205389,0.8797286880513988,0.8746448386210857,0.9440940040288576,0.8305447549803242,0.9672465870548542
symmetric,0.1,0.9176862131544116,0.9554960799944012,0.9106238466226337,0.8112248980975189,0.933325657581886,0.8781970405263635,0.8745782545612787,0.9424343541721587,0.8234530164571987,0.9672260548234218
symmetric,0.2,0.9179486914631318,0.9554073647079713,0.9085161172676933,0.8171346466142507,0.9361903231232283,0.8787374904373862,0.8704456169641925,0.9455343216241641,0.8276885811302466,0.9645709040687978
symmetric,0.3,0.9164019551650868,0.9530979122384446,0.9069255728624868,0.813908032640918,0.9341997006300409,0.8764929403940587,0.8704009986396761,0.9441998609361992,0.8197431339652962,0.9651205204980322
symmetric,0.4,0.9131231250926255,0.9531187309814293,0.9014974910024838,0.8029064038620973,0.928656502346809,0.8779570712466004,0.8647568551294015,0.94152689503827,0.8099803284134603,0.9604432387416184
