noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.9065432098765432,0.007867041174348671,0.9023545098461275,0.00838161681741326,0.9060347100313306,0.008059795632756488
asymmetric,0.1,0.9051851851851852,0.0075266887837988775,0.9008917125190254,0.007802829755358344,0.90458298504127,0.0077070473708566525
asymmetric,0.2,0.8985185185185186,0.007113511254759481,0.8938276046972575,0.0075607141864484995,0.8978496794207796,0.007215979248450108
asymmetric,0.3,0.8858024691358025,0.004129348197611001,0.8808694684456881,0.004269820455899219,0.8849970480984071,0.004176072812191465
asymmetric,0.4,0.8111728395061728,0.010499272370837172,0.8035015916403625,0.010907551281790015,0.8095623634631464,0.010500388089677834
symmetric,0.0,0.9065432098765432,0.007867041174348671,0.9023545098461275,0.00838161681741326,0.9060347100313306,0.008059795632756488
symmetric,0.1,0.9058024691358024,0.006809036510736439,0.9014245415991272,0.007367646019686434,0.9053054923740191,0.007035926316918619
symmetric,0.2,0.9064197530864198,0.005829167628798062,0.9022174057401063,0.00638315932930021,0.9060020406611052,0.006017359483901978
symmetric,0.3,0.9042592592592593,0.0024046359482447262,0.900049062797024,0.00279917181885107,0.903920481873285,0.0025616074524875696
symmetric,0.4,0.8996913580246912,0.0059087005305792336,0.8953966641854796,0.0064871344324854445,0.8992886225719223,0.0060700150903733605
