noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
asymmetric,0.0,0.9419328016111915,0.9514728254894811,0.9349000607517061,0.87340663517479,0.8370063745142982,0.8835164838936331,0.952822268088991
asymmetric,0.1,0.9343999727900197,0.9441924007746296,0.9101963405632084,0.8277503736445023,0.8341998458740058,0.877859495092865,0.9485417485674883
asymmetric,0.2,0.9163642563461517,0.9215612527413481,0.8011738432275758,0.6184082399034145,0.8146671104856754,0.858540151270731,0.9231543147805601
asymmetric,0.3,0.8735397396943408,0.861495865866674,0.5594566694588077,0.3643818249888777,0.7582008674860654,0.8055052685859561,0.8654195631048072
asymmetric,0.4,0.7847479807582834,0.7395332633032312,0.28527564949551126,0.19375119858192077,0.6784757268381492,0.7032187664047956,0.7318176469702945
symmetric,0.0,0.9419328016111915,0.9514728254894811,0.9349000607517061,0.87340663517479,0.8370063745142982,0.8835164838936331,0.952822268088991
symmetric,0.1,0.9320442172972795,0.943942478148475,0.9314336210709342,0.8343603406283175,0.8276930012917854,0.8758145899556862,0.9460683428461734
symmetric,0.2,0.9223593548876524,0.9358223378626459,0.9184772735362481,0.7012911817401136,0.7785113392040228,0.8430500516017243,0.9205036099915127
symmetric,0.3,0.909119283378544,0.9237932359774641,0.8913524079449054,0.5071454848136372,0.6721706036516625,0.7866944182407194,0.8674327524140535
symmetric,0.4,0.8831121576091739,0.8994779416979333,0.8387255311730826,0.32201273591395896,0.5398612281300081,0.6864644432391623,0.77814460471885
