dataset,condition,f1_GCE_XGB,acc_GCE_XGB
cifar10,asymmetric_10,0.8664,0.8662
cifar10,asymmetric_20,0.8496,0.8496
cifar10,asymmetric_30,0.8003,0.8003
cifar10,asymmetric_40,0.673,0.6733
cifar10,c10n_aggre_0,0.8663,0.8666
cifar10,c10n_random1_0,0.8544,0.8547
cifar10,c10n_worse_0,0.7913,0.7921
cifar10,clean_0,0.8762,0.8762
cifar10,pairflip_40,0.7551,0.7558
cifar10,symmetric_10,0.8689,0.8688
cifar10,symmetric_20,0.8556,0.8554
cifar10,symmetric_30,0.843,0.8428
cifar10,symmetric_40,0.8225,0.8224
drybean,asymmetric_10,0.9327,0.9213
drybean,asymmetric_20,0.8964,0.891
drybean,asymmetric_30,0.8203,0.8255
drybean,asymmetric_40,0.6843,0.6979
drybean,clean_0,0.9381,0.9251
drybean,pairflip_40,0.8078,0.7824
drybean,symmetric_10,0.9383,0.9258
drybean,symmetric_20,0.9353,0.9227
drybean,symmetric_30,0.9242,0.9129
drybean,symmetric_40,0.9053,0.9009
fmnist,asymmetric_10,0.8905,0.8908
fmnist,asymmetric_20,0.8807,0.8812
fmnist,asymmetric_30,0.8408,0.8414
fmnist,asymmetric_40,0.7053,0.7057
fmnist,clean_0,0.8958,0.8962
fmnist,pairflip_40,0.7819,0.7827
fmnist,symmetric_10,0.8919,0.8922
fmnist,symmetric_20,0.8856,0.8858
fmnist,symmetric_30,0.8765,0.8764
fmnist,symmetric_40,0.8602,0.8603
har,asymmetric_10,0.9781,0.978
har,asymmetric_20,0.9536,0.9532
har,asymmetric_30,0.8875,0.8883
har,asymmetric_40,0.7314,0.7341
har,clean_0,0.9877,0.9874
har,pairflip_40,0.8108,0.8171
har,symmetric_10,0.9804,0.9801
har,symmetric_20,0.9774,0.9769
har,symmetric_30,0.9623,0.9623
har,symmetric_40,0.9375,0.9374
isolet,asymmetric_10,0.9317,0.9318
isolet,asymmetric_20,0.9033,0.9036
isolet,asymmetric_30,0.8234,0.8247
isolet,asymmetric_40,0.6687,0.672
isolet,clean_0,0.944,0.944
isolet,pairflip_40,0.8739,0.8754
isolet,symmetric_10,0.9384,0.9384
isolet,symmetric_20,0.9275,0.9277
isolet,symmetric_30,0.9071,0.9074
isolet,symmetric_40,0.8912,0.8918
pendigits,asymmetric_10,0.9739,0.9738
pendigits,asymmetric_20,0.9245,0.9245
pendigits,asymmetric_30,0.8276,0.8277
pendigits,asymmetric_40,0.6724,0.6729
pendigits,clean_0,0.9914,0.9914
pendigits,pairflip_40,0.8004,0.8007
pendigits,symmetric_10,0.9869,0.9868
pendigits,symmetric_20,0.9803,0.9803
pendigits,symmetric_30,0.962,0.9621
pendigits,symmetric_40,0.911,0.9111
satimage,asymmetric_10,0.8842,0.9021
satimage,asymmetric_20,0.8442,0.8653
satimage,asymmetric_30,0.7686,0.7912
satimage,asymmetric_40,0.6439,0.6636
satimage,clean_0,0.9021,0.9184
satimage,pairflip_40,0.7328,0.7876
satimage,symmetric_10,0.8947,0.9122
satimage,symmetric_20,0.8825,0.9021
satimage,symmetric_30,0.8514,0.8752
satimage,symmetric_40,0.798,0.8226
shuttle,asymmetric_10,0.9042,0.9978
shuttle,asymmetric_20,0.8454,0.9948
shuttle,asymmetric_30,0.7933,0.9869
shuttle,asymmetric_40,0.7111,0.9537
shuttle,clean_0,0.8894,0.9981
shuttle,pairflip_40,0.7173,0.9598
shuttle,symmetric_10,0.8959,0.998
shuttle,symmetric_20,0.8886,0.9978
shuttle,symmetric_30,0.8673,0.9948
shuttle,symmetric_40,0.7865,0.9878
