params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9115238844136645,0.008817673805045256,1,3.2963311672210693
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9115238844136645,0.008817673805045256,1,3.1313812732696533
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9096629709938494,0.011111520554526183,3,2.091660261154175
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9096629709938494,0.011111520554526183,3,2.1402056217193604
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9095939950820445,0.0013192268381030552,5,1.070438543955485
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9095939950820445,0.0013192268381030552,5,1.2809892495473225
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9095567440421383,0.002465214666139295,7,3.456390380859375
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9095567440421383,0.002465214666139295,7,3.2813610235850015
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9094068181870819,0.00462944620300551,9,3.0419483184814453
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9089085379226164,0.002050268695314171,10,3.373802979787191
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9089085379226164,0.002050268695314171,10,3.1143645445505777
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9087832201543863,0.0035497539658797656,12,2.6017653147379556
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9087832201543863,0.0035497539658797656,12,2.1239768664042153
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9080319627726149,0.004607325269481277,14,1.1002872784932454
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9080319627726149,0.004607325269481277,14,1.2869527339935303
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9078862222555509,0.004812737602039368,16,1.1089990139007568
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9078862222555509,0.004812737602039368,16,1.04268479347229
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.90717841159011,0.004210702541829377,18,2.2992374102274575
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.90717841159011,0.004210702541829377,18,2.9807740847269693
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9071192533155883,0.004018591687360424,20,1.2036710580190022
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.9065043743973167,0.003550258288617985,21,3.0612454414367676
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.9065043743973167,0.003550258288617985,21,3.201622804005941
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9061451000922697,0.001615843645148458,23,1.1620103518168132
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9059882937949603,0.0018602172104378787,24,3.120720704396566
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9053948952203061,0.0006387256140265989,25,3.2026467323303223
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9053282475246461,0.004690140291154476,26,1.0401031970977783
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9051168682404525,0.0027881752478073458,27,2.4148059686024985
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9051168682404525,0.0027881752478073458,27,2.0848546028137207
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9049903759881829,0.003084458234272418,29,2.1394659678141275
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9045070912295246,0.003788371019974132,30,2.05873441696167
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.9042680924699589,0.00520494464614188,31,3.426485776901245
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9037102880154461,0.0030840286177702602,32,2.218050797780355
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9036105156440531,0.006177610100909747,33,2.033798933029175
"{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9033873914036098,0.004567584248909549,34,1.095699946085612
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9033873914036098,0.004567584248909549,34,1.0391295750935872
"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9025530867556274,0.0010620870284316138,36,1.0623939037322998
