noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
asymmetric,0.0,0.9247070142907896,0.938036400706442,0.923195212062344,0.8586857057318886,0.7902511801467934,0.8615548394677601,0.9297397327644481
asymmetric,0.1,0.8998605107605137,0.9225948219467149,0.89508702597897,0.7987378024052794,0.7609300347576212,0.8344519503714085,0.8970997065677278
asymmetric,0.2,0.8626632405329175,0.9029406626776856,0.8748289694593545,0.7266862699689993,0.7308873645356959,0.8173037607742293,0.8496360014572947
asymmetric,0.3,0.8138329655644101,0.8776780465309132,0.8444757368256848,0.6815479312520427,0.6677635116846398,0.7739366448089982,0.7917224501570338
asymmetric,0.4,0.7453418898803092,0.8440315745512634,0.7652268231599944,0.4372781939845371,0.606871642264263,0.6964350121252461,0.6862560134824591
symmetric,0.0,0.9247070142907896,0.938036400706442,0.923195212062344,0.8586857057318886,0.7902511801467934,0.8615548394677601,0.9297397327644481
symmetric,0.1,0.9109857077418146,0.9271543042116754,0.8983487204990098,0.7961346805955343,0.7314760019559525,0.8205583556104697,0.9073349838348175
symmetric,0.2,0.8977264956141537,0.9164812131653504,0.8867589402843802,0.7682131820397882,0.6579611107307628,0.7858931043300049,0.8862907858151337
symmetric,0.3,0.8812037747311244,0.902811326405913,0.8654936825174996,0.6774711632769688,0.546157266293031,0.7465048133401216,0.8433544497299928
symmetric,0.4,0.8637542971135783,0.8874662269060305,0.8334425405978392,0.28939888847861694,0.3997461099380874,0.6705874110333602,0.7986399837249869
