noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
asymmetric,0.0,0.9419992746328771,0.969170781148075,0.9322003106223816,0.8802593872158628,0.95360243262891,0.9193058547789119,0.9053420534664542,0.9648418160100622,0.8899938602022253,0.9771902097869314
asymmetric,0.1,0.939302727273656,0.9672655431759531,0.9280715689363281,0.8717900804263371,0.9487439855321599,0.9101280504604199,0.8965857299765311,0.9604076507437462,0.8934146071123866,0.9760677458688611
asymmetric,0.2,0.9338605036751699,0.9595354062217106,0.9184854742113707,0.8563977297423072,0.9339134388180744,0.9059318213774471,0.883469487465336,0.9442236922950272,0.8754551011024307,0.9764235585113756
asymmetric,0.3,0.9119411783431968,0.9366640747409226,0.8923825858417269,0.8146496969722928,0.9079321432179374,0.8647916090262525,0.848263148588528,0.9208372933286466,0.8298443283399907,0.9400649029549386
asymmetric,0.4,0.8282182029343084,0.8265338103364182,0.7924645839113669,0.6688218900025032,0.8031286931785848,0.7255640145085069,0.7408236252890208,0.8115659288914181,0.67431182643049,0.8180664702472148
symmetric,0.0,0.9419992746328771,0.969170781148075,0.9322003106223816,0.8802593872158628,0.95360243262891,0.9193058547789119,0.9053420534664542,0.9648418160100622,0.8899938602022253,0.9771902097869314
symmetric,0.1,0.9403412891044255,0.9703344098829805,0.9278764414195557,0.8833112032872819,0.9545832567173497,0.9132851111017061,0.9043069481038266,0.9660080641388392,0.8914972822566158,0.9768441809118726
symmetric,0.2,0.935337804916309,0.9656490767765906,0.9263001799850133,0.8766079847079249,0.9522331278075997,0.9078944413447946,0.900291705558715,0.9645324522084946,0.8812583326896328,0.9748447320945306
symmetric,0.3,0.9331819195345755,0.9642166587938907,0.9235243541866298,0.8626943127803571,0.953689371021898,0.9076627770599904,0.895487853434642,0.9636627931427684,0.8738441284803475,0.9736711308661464
symmetric,0.4,0.9274218885894887,0.9617628182052413,0.9226489992456056,0.8617150392622313,0.9425735210963607,0.8983348421286979,0.8869739674858662,0.9554427619790659,0.8678416353425312,0.9668590937371867
