noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.9360493827160493,0.004798365379850632,0.9333905980492692,0.005506731797693593,0.9358449340719421,0.004908942238269413
asymmetric,0.1,0.9321604938271605,0.005040417347959331,0.9291777689506379,0.005657249681623976,0.9318495487605558,0.005151162284652279
asymmetric,0.2,0.9219135802469136,0.009282378544334946,0.9187696213420249,0.010106946264176265,0.9215755163081196,0.0094319284101403
asymmetric,0.3,0.890925925925926,0.005793103815863186,0.8867370961354434,0.006233324703436501,0.8902583932028769,0.005989918209997963
asymmetric,0.4,0.7756172839506172,0.017910544620313766,0.7689499045729832,0.018747861661765588,0.7740514853789144,0.01829588710355214
symmetric,0.0,0.9360493827160493,0.004798365379850632,0.9333905980492692,0.005506731797693593,0.9358449340719421,0.004908942238269413
symmetric,0.1,0.9355555555555556,0.004837907584301189,0.9328388186924453,0.0054707385873775305,0.9353714853514488,0.004946016549937802
symmetric,0.2,0.9313580246913581,0.005027170498910697,0.9284949838089606,0.005814957669717352,0.9311762776867438,0.00520130219811829
symmetric,0.3,0.9281481481481482,0.00539196735849936,0.9251635299301245,0.005992258472037146,0.9279401958513009,0.005511485935432277
symmetric,0.4,0.9224074074074075,0.0051210391439963044,0.9191574567072275,0.005859231677799965,0.9221050658331347,0.005363509836953824
