noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
asymmetric,0.0,0.9548221023064289,0.9627332950282032,0.9561308534252466,0.8939950487456141,0.8750406889007017,0.9248426157649486,0.9634067121262792
asymmetric,0.1,0.9426360498488489,0.9518054985828804,0.9245865023829009,0.8189550771738464,0.8626377111115971,0.9110515550682278,0.9538521801719411
asymmetric,0.2,0.9241274962700606,0.9312604592276044,0.8300988863922225,0.6156662210995031,0.8383874692336015,0.8786001260246963,0.9257745048887521
asymmetric,0.3,0.8873144589938491,0.8803998550284551,0.6058691957799915,0.36174293669828617,0.7730985259814303,0.8190817896934485,0.8711896367617189
asymmetric,0.4,0.8041323612734604,0.7616587844525469,0.32126652302165526,0.19934830474969598,0.6860471289219746,0.7111546750958939,0.7468418530257372
symmetric,0.0,0.9548221023064289,0.9627332950282032,0.9561308534252466,0.8939950487456141,0.8750406889007017,0.9248426157649486,0.9634067121262792
symmetric,0.1,0.943257747920834,0.9533627404898496,0.9422885511832197,0.841570277347048,0.8391237016226061,0.8961974662704382,0.949338804533865
symmetric,0.2,0.9332094370158902,0.9451270031680042,0.9304936932924772,0.7453498556908451,0.7991166207894959,0.8688414477716728,0.9318341891803563
symmetric,0.3,0.9215844849852303,0.9354242298608506,0.9101091031481436,0.6028024448493514,0.7211775685586008,0.8281570912541614,0.8973772070132705
symmetric,0.4,0.9025760822635691,0.9189217705213164,0.8720776224876643,0.4297048025833942,0.6155934846000097,0.7508046241187198,0.837183466161599
