noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.9566530707146311,0.001228234452158951,0.9329959023282033,0.0029473114159873927,0.956576025783989,0.0012293001285630112
asymmetric,0.1,0.9435896145250304,0.0012340020783297902,0.9093606534771774,0.002503083530195058,0.9435563161511047,0.001248456143660052
asymmetric,0.2,0.9167398188084727,0.00191343060432268,0.8491307375909202,0.004691538124090774,0.9176568151972505,0.0018419740905885377
asymmetric,0.3,0.8523117838460363,0.0013568653413655492,0.7426709141338829,0.0038266320969963102,0.8596630237528864,0.001270755465221866
asymmetric,0.4,0.7159716204264497,0.002163736179438118,0.6043499472201378,0.003634364042604773,0.7441169280626383,0.0015940774216104854
symmetric,0.0,0.9566530707146311,0.001228234452158951,0.9329959023282033,0.0029473114159873927,0.956576025783989,0.0012293001285630112
symmetric,0.1,0.9448202282763158,0.0015667082639176815,0.9093056127668373,0.004039491709945796,0.9447511034560042,0.0015738101894174233
symmetric,0.2,0.9336672351840265,0.0012886471361594064,0.8791388924155346,0.004073454013112555,0.9338015883104347,0.0012923162259541492
symmetric,0.3,0.9182257341531097,0.0012311086495656919,0.8309474470956584,0.004635392653660899,0.9191976753476656,0.001278384068960934
symmetric,0.4,0.8911808769430267,0.0011227817717464163,0.7609802646766104,0.0028266455276634937,0.894899473311822,0.0010158386457551308
