domain,noise_type,ensemble_1,ensemble_2,mean_diff,wilcoxon_p,rank_biserial_r,cliffs_delta,effect_magnitude,better
Tabular,symmetric,RF,XGBoost,-0.046,0.0,-1.0,-0.347,large,XGBoost
Tabular,symmetric,RF,Voting,-0.0286,0.0,-1.0,-0.226,large,Voting
Tabular,symmetric,RF,Stacking,0.0277,0.0,1.0,0.338,large,RF
Tabular,symmetric,XGBoost,Voting,0.0174,0.0,0.988,0.158,large,XGBoost
Tabular,symmetric,XGBoost,Stacking,0.0736,0.0,1.0,0.61,large,XGBoost
Tabular,symmetric,Voting,Stacking,0.0563,0.0,1.0,0.411,large,Voting
Tabular,asymmetric,RF,XGBoost,-0.0188,0.0,-1.0,-0.219,large,XGBoost
Tabular,asymmetric,RF,Voting,-0.016,0.0,-1.0,-0.238,large,Voting
Tabular,asymmetric,RF,Stacking,-0.0149,0.299612,-0.243,0.107,small,Stacking
Tabular,asymmetric,XGBoost,Voting,0.0028,0.003781,0.643,0.078,large,XGBoost
Tabular,asymmetric,XGBoost,Stacking,0.0039,0.652841,0.108,0.13,small,XGBoost
Tabular,asymmetric,Voting,Stacking,0.0011,0.89486,0.034,0.12,negligible,Voting
Image,symmetric,RF,XGBoost,-0.0254,0.0,-1.0,-0.946,large,XGBoost
Image,symmetric,RF,Voting,-0.0275,0.0,-1.0,-1.0,large,Voting
Image,symmetric,RF,Stacking,-0.0269,0.0,-1.0,-1.0,large,Stacking
Image,symmetric,XGBoost,Voting,-0.0021,0.13364,-0.348,-0.037,medium,Voting
Image,symmetric,XGBoost,Stacking,-0.0014,0.209939,-0.292,-0.046,small,Stacking
Image,symmetric,Voting,Stacking,0.0006,0.652841,0.108,0.05,small,Voting
Image,asymmetric,RF,XGBoost,0.0032,0.542404,-0.145,-0.261,small,RF
Image,asymmetric,RF,Voting,-0.0111,0.070984,-0.415,-0.354,medium,Voting
Image,asymmetric,RF,Stacking,-0.0036,0.380984,-0.206,-0.178,small,Stacking
Image,asymmetric,XGBoost,Voting,-0.0143,0.002255,-0.674,-0.085,large,Voting
Image,asymmetric,XGBoost,Stacking,-0.0068,0.633827,0.114,0.037,small,Stacking
Image,asymmetric,Voting,Stacking,0.0075,0.048262,0.452,0.085,medium,Voting
