noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
asymmetric,0.0,0.9415207408845383,0.971836027612013,0.9338225893572579,0.8817100731710413,0.9543748370145856,0.9214558115903347,0.9068453412992528,0.9654095037823749,0.8937806114136663,0.977795624442319
asymmetric,0.1,0.9407047025164925,0.967707375322566,0.932837864063527,0.8734940528791262,0.9512952887592079,0.9111353508490329,0.8977918013962329,0.9602046149707558,0.890898444316705,0.9761448510579358
asymmetric,0.2,0.9337806273636076,0.954425984975581,0.9155364237138732,0.8588234841281863,0.9301266872062527,0.8972625110476068,0.8765748839640194,0.9393824427496522,0.8671178171122562,0.9704520878876789
asymmetric,0.3,0.8851223898669144,0.9113319338564134,0.8743732945465365,0.8045844553575794,0.8887205814277064,0.8378145726504354,0.8321018762987362,0.9053544265886959,0.8044448102305808,0.9124701884792644
asymmetric,0.4,0.7694229426341879,0.7709892954532545,0.7450353360192266,0.6349281751974349,0.753535387378191,0.6824230232403807,0.7105848765873547,0.7597762692626352,0.6155174519398726,0.762346760335489
symmetric,0.0,0.9415207408845383,0.971836027612013,0.9338225893572579,0.8817100731710413,0.9543748370145856,0.9214558115903347,0.9068453412992528,0.9654095037823749,0.8937806114136663,0.977795624442319
symmetric,0.1,0.940735950749884,0.9714187994743426,0.9278248498707568,0.8874820468252842,0.9556795853459488,0.9149216816019343,0.9039825605684302,0.9646798229771776,0.8945327123108321,0.9783065390434869
symmetric,0.2,0.9365356426703009,0.9670035142879397,0.9274164198839756,0.8766419820417136,0.9492061680827435,0.905872156260689,0.8981348890366665,0.9634059586474439,0.8789631108585578,0.9743815659894344
symmetric,0.3,0.9302199089641243,0.9655834774972568,0.9214720398842609,0.859406164893654,0.950148954148051,0.9038648205771415,0.894095451244452,0.9602008807185285,0.8705390449923056,0.971570160932224
symmetric,0.4,0.9219005098503272,0.9598500165821056,0.913453824925714,0.8489293941672642,0.9320756066504918,0.8821665034499766,0.8754260177987219,0.9451172473372436,0.8528057628052442,0.9622751756723156
