noise_type,noise_level,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
asymmetric,0.0,0.9374074074074074,0.003996883788439488,0.9348551160567382,0.004525063153708942,0.937253416246761,0.004064576128726136
asymmetric,0.1,0.9332098765432099,0.005121039143996329,0.9302214346131583,0.005735762595323624,0.9329173294025954,0.005228846363117763
asymmetric,0.2,0.9175925925925925,0.009348846438803075,0.9143482950148714,0.009972840865687442,0.9172912927108584,0.009452146497465024
asymmetric,0.3,0.8696913580246914,0.00900473211299285,0.8656318529302862,0.009558338987445625,0.8691190797629945,0.009251002229230058
asymmetric,0.4,0.7258641975308642,0.015751932598326728,0.7204559518048027,0.016892641782709626,0.7249619476056398,0.01607849257992252
symmetric,0.0,0.9374074074074074,0.003996883788439488,0.9348551160567382,0.004525063153708942,0.937253416246761,0.004064576128726136
symmetric,0.1,0.9365432098765432,0.0053217251930774735,0.9339564548768078,0.006017849416151438,0.9364049448954462,0.005430235414803512
symmetric,0.2,0.9307407407407406,0.007360965523834014,0.9277561407759464,0.008183785670919036,0.9305681108151062,0.0074745246061448415
symmetric,0.3,0.9258024691358024,0.004465186509594236,0.9227100903851999,0.004839970883267706,0.925568262345912,0.0045564236449116705
symmetric,0.4,0.9131481481481482,0.005222346261259271,0.9094000059239405,0.005680239082785809,0.9127857512428659,0.005371453342297842
