noise_type,noise_level,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
asymmetric,0.0,0.960430500884023,0.9670860268622757,0.959612523821226,0.8873787155577059,0.8828029887047283,0.9309436584362946,0.96539068196191
asymmetric,0.1,0.9417697414359273,0.9531630841309993,0.9335372950021771,0.8106359175908293,0.8584043626945681,0.9070806550549388,0.9412435094779565
asymmetric,0.2,0.9158973636143127,0.9334865853871832,0.8754230870357371,0.6575250330506354,0.8211163407090467,0.866055569972473,0.8879164847413211
asymmetric,0.3,0.8649344126735684,0.8894126627018923,0.7288745633235374,0.4499136714866581,0.7390688017136962,0.7844991182412937,0.8010883934010715
asymmetric,0.4,0.7558071581191557,0.7879676428816794,0.47544792569067074,0.2810677921393768,0.6426874581371406,0.6676163358953306,0.6432473575536586
symmetric,0.0,0.960430500884023,0.9670860268622757,0.959612523821226,0.8873787155577059,0.8828029887047283,0.9309436584362946,0.96539068196191
symmetric,0.1,0.9465886073850547,0.9557293891930432,0.9435216459822062,0.850951509776622,0.8281079800125746,0.9002108329420823,0.9493551377921173
symmetric,0.2,0.935162931053975,0.9468540966613583,0.9302069872129936,0.8120041980461746,0.7900420718705388,0.8734578858316618,0.9332823340553918
symmetric,0.3,0.9231673418441542,0.9370271508092662,0.9107662581139939,0.743984762916054,0.7387050286532003,0.838406042502435,0.910494199759877
symmetric,0.4,0.9073650967135402,0.9244243609322794,0.8801554740276831,0.6159130129535276,0.6660934280459128,0.7847536393178449,0.870864858361472
